# Nb	econduct	error
0.000000e+00	5.993672e-03	2.925633e-04
2.000000e+00	5.918592e-03	2.968211e-04
4.000000e+00	5.664157e-03	3.032720e-04
6.000000e+00	5.244809e-03	3.137945e-04
8.000000e+00	4.712636e-03	3.267283e-04
1.000000e+01	4.489444e-03	3.149723e-04
1.200000e+01	3.455298e-03	3.589673e-04
