#t JJ(t)	err	jack_1	jack_2	jack_3	jack_4	jack_5	jack_6	jack_7	jack_8	jack_9	jack_10
0	1.230618591257284	0.002821849586026952	1.2298545720545144	1.229444630597421	1.229755997937007	1.2324788225552554	1.229902776569197	1.2318080196625723	1.230479257834495	1.2301959744367887	1.2310169157360913	1.2312489451894968	
1	0.11351531529834409	0.00040780689270691125	0.11332553161282921	0.1137441776866937	0.1136979824992373	0.11334530326010239	0.11359079221741969	0.113500000432321	0.11353376619510372	0.11336545648865037	0.11347409115166705	0.1135760514394165	
2	0.023009541527759608	0.00022566672637303175	0.022938037668473275	0.02309122604893686	0.02314719118409709	0.02291977710761972	0.02307574591949361	0.02294760918497684	0.022972402336184455	0.022937979353155422	0.02300110258800863	0.023064343886650192	
3	0.006772963312312838	7.35767689018888e-05	0.006775924537187137	0.006806228395474989	0.006797882792248302	0.006730932451055597	0.006791264540158345	0.006744110658698685	0.0067565063240290595	0.006756013587636441	0.006769925159309568	0.006800844677330252	
4	0.0026276488985189647	3.1727639142397166e-05	0.002633178395582583	0.0026437272694884288	0.002630171243732919	0.0026091396119940023	0.002638392914023334	0.002621591813389918	0.0026123935632018005	0.0026233671395691615	0.0026280995779050923	0.0026364274563024006	
5	0.0012086108891060723	1.948914922471003e-05	0.00120829484208449	0.0012186272609386723	0.0012065874368316662	0.001201036266628912	0.0012173760930939287	0.0012053573827591054	0.0011973864320912514	0.0012059590951238469	0.001214410227852484	0.001211073853656366	
6	0.0006007807637093622	1.334626823577578e-05	0.0005977485321415271	0.0006069386467567375	0.0005986774665931592	0.0005957933671157404	0.0006070422662434327	0.0006006758808050259	0.0005936609585540368	0.0005995212692410676	0.0006062051882389344	0.0006015440614039611	
7	0.0003068789747707911	8.754198487385857e-06	0.00030479240630564616	0.0003101428801353707	0.0003053982745173084	0.0003031304077867013	0.00031068144802996647	0.0003076446663283205	0.00030214151515148995	0.0003060660300373529	0.0003106368467622003	0.0003081552726535545	
8	0.0001583176390737748	5.482870308511976e-06	0.00015664317850844052	0.0001598563279792014	0.00015767286485147912	0.0001554845974100385	0.0001608239901439364	0.00015928253866632965	0.00015585879661400513	0.00015763852753204212	0.00016054462089144024	0.000159370948140835	
9	8.31693264551827e-05	3.3509657779049734e-06	8.197563962855479e-05	8.394376223110588e-05	8.287285250687114e-05	8.118416860446248e-05	8.470968262960794e-05	8.384680891359471e-05	8.199461697609254e-05	8.282475727217096e-05	8.438054656719095e-05	8.396042922217559e-05	
10	4.411913562236937e-05	1.8550440584643727e-06	4.3346471447717055e-05	4.452318120269776e-05	4.399954703743861e-05	4.2932119402505226e-05	4.4961649750144915e-05	4.450751280102562e-05	4.376529761145288e-05	4.38476223320104e-05	4.471828930709665e-05	4.4589665331604565e-05	
11	2.3654480312656507e-05	9.636060801546574e-07	2.3253273271788196e-05	2.3817095364862836e-05	2.359942448716826e-05	2.2981743198770174e-05	2.4092921264980273e-05	2.3800427338360254e-05	2.358687067236934e-05	2.3542500600495816e-05	2.392187203528718e-05	2.394867489248276e-05	
12	1.2675029590774485e-05	4.988113543903937e-07	1.2449274284053798e-05	1.2725284669721233e-05	1.2654221429746512e-05	1.2330107298112775e-05	1.2914166981318247e-05	1.2725718494070935e-05	1.2680708548185934e-05	1.2632602360268026e-05	1.2803958703121473e-05	1.2834253139145897e-05	
13	6.772404606652445e-06	2.6843840194354876e-07	6.646861676882889e-06	6.775677832154987e-06	6.75098179053244e-06	6.593400910844154e-06	6.908499999118994e-06	6.797424296757782e-06	6.790833849224807e-06	6.761097783031856e-06	6.838485419906958e-06	6.8607825080695745e-06	
14	3.6499337903469836e-06	1.4870626254595557e-07	3.5753396525827393e-06	3.651212574778992e-06	3.636590464837406e-06	3.5651074149372627e-06	3.7346255541644683e-06	3.6537588845670695e-06	3.659606398884458e-06	3.6358058913031657e-06	3.68081551372407e-06	3.7064755536902075e-06	
15	1.992634082131325e-06	8.780334178088619e-08	1.9481671037406452e-06	1.987917919562175e-06	1.986486030957684e-06	1.9499600942781998e-06	2.0482914966168975e-06	1.989128648555889e-06	1.9997852919028833e-06	1.98264176808174e-06	2.005557178113516e-06	2.0284052895036208e-06	
16	1.130368658725039e-06	4.826058362444745e-08	1.1071626703021172e-06	1.1227053921552924e-06	1.1299543609554663e-06	1.111717150963237e-06	1.1635312273375937e-06	1.1287711999473936e-06	1.1289583713540966e-06	1.1232835274099444e-06	1.135826155825907e-06	1.1517765309993427e-06	
17	7.150511743095787e-07	2.4559806313999356e-08	7.047545896880187e-07	7.1222427730082e-07	7.141064141534616e-07	7.097415605199821e-07	7.341356041836967e-07	7.130928805685754e-07	7.110647076523579e-07	7.093838247074596e-07	7.16521926308987e-07	7.254859580124275e-07	
18	5.884434295867959e-07	1.2988128801784316e-08	5.850050755315854e-07	5.897498866223748e-07	5.871335897136213e-07	5.864953977206864e-07	5.987415297196109e-07	5.867721085870295e-07	5.82193964730012e-07	5.861560841260615e-07	5.918741916439805e-07	5.903124674729963e-07	
19	7.033110176574741e-07	1.509704269718114e-08	7.03230205899652e-07	7.082977290149781e-07	7.044562554347511e-07	7.02529357189796e-07	7.070509071738525e-07	6.960881754048823e-07	6.944326975727617e-07	7.072697468554237e-07	7.103951798148218e-07	6.99359922213822e-07	
20	1.1009654715222224e-06	3.0367603047247855e-08	1.1057030226685104e-06	1.1122686542295118e-06	1.1055004601753973e-06	1.1013451165991485e-06	1.1013159208945603e-06	1.080408318521466e-06	1.0884571647455585e-06	1.113481532705786e-06	1.1082562084629529e-06	1.092918316219334e-06	
