0 6.113102071899998574e-04 5.306601331759530854e-04 
2 6.444738757335402709e-04 5.829834475635440856e-04 
4 8.577479352487569781e-04 7.626937730670278704e-04 
6 1.299077461393510031e-03 1.075582143314236837e-03 
8 2.066058413786861503e-03 1.508372148369980592e-03 
10 3.236858135696191706e-03 2.223832393233307267e-03 
12 4.769342417952872164e-03 2.971367171206495527e-03 
