0	9.134523756230030281e-03 1.081502775988538861e-03
2	8.547392439791433316e-03 1.051616460982478761e-03
4	7.900669001053944179e-03 1.004849697232915000e-03
6	7.934012779200548537e-03 1.045610584953815406e-03
8	7.443827593106681906e-03 1.032978982162879389e-03
10	6.182054741352784044e-03 8.627050651887900904e-04
12	6.113032689124595076e-03 9.538030255821388671e-04
