# MULTIPOINT_STEPS 3
#
# Nb	econduct	error
0.000000e+00	6.389700e-03	1.062947e-03
2.000000e+00	6.403123e-03	1.070426e-03
4.000000e+00	6.298015e-03	1.092118e-03
6.000000e+00	6.088640e-03	1.128172e-03
8.000000e+00	5.804318e-03	1.180250e-03
1.000000e+01	4.562263e-03	9.679040e-04
1.200000e+01	5.125494e-03	1.328329e-03
