# MULTIPOINT_STEPS 3
#
# Nb	econduct	error
0.000000e+00	6.447769e-03	6.676363e-04
2.000000e+00	6.841822e-03	6.628403e-04
4.000000e+00	7.987167e-03	6.508177e-04
6.000000e+00	9.722541e-03	6.384289e-04
8.000000e+00	1.187019e-02	6.306570e-04
1.000000e+01	1.427869e-02	6.317350e-04
1.200000e+01	1.683123e-02	6.454496e-04
