# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
4.005340453938584927e-02 5.893961348012214385e-01 4.013722397149835537e-03 5.897208446662579595e-01 5.876792464073189448e-01 5.891451485923531184e-01 5.883180246954682335e-01 5.903849564411798312e-01 5.890447477657743125e-01 5.891609213417585700e-01 5.906725768578435787e-01 5.885448567080595605e-01 5.922844687870706393e-01
4.405874499332443350e-02 6.461643205904870069e-01 3.840854012272965946e-03 6.465547179886655949e-01 6.445209720630181716e-01 6.459125785164890887e-01 6.451089535114491458e-01 6.470798402359252410e-01 6.458285336536285781e-01 6.459559075646349458e-01 6.473615035970490261e-01 6.453404659739381266e-01 6.489275303976222986e-01
4.806408544726302468e-02 7.024330483967990979e-01 3.605053837993232087e-03 7.028928812520538472e-01 7.008910381014242796e-01 7.021835057186568418e-01 7.014160677036589409e-01 7.032548725713777538e-01 7.021183198133921222e-01 7.022575900530712012e-01 7.035269136413144775e-01 7.016498221904224897e-01 7.050239521827453837e-01
5.206942590120160891e-02 7.581793923675665958e-01 3.316893056906473469e-03 7.587114013829210357e-01 7.567626247701367825e-01 7.579347416284616390e-01 7.572147509145946698e-01 7.588897719931503305e-01 7.578902927185364735e-01 7.580422760747053124e-01 7.591491124664148105e-01 7.574483975395421842e-01 7.605572249593853806e-01
5.607476635514019314e-02 8.133683192943850226e-01 2.987290813000491665e-03 8.139742167366073033e-01 8.120970330068878473e-01 8.131310179527821980e-01 8.124684065178272574e-01 8.139520186451124628e-01 8.131085816345132722e-01 8.132741969844945462e-01 8.141961259183533306e-01 8.126996619990543014e-01 8.154983407457563338e-01
6.008010680907877737e-02 8.679731842044059453e-01 2.628294357631239496e-03 8.686536718727119188e-01 8.668641516995393426e-01 8.677454721237674029e-01 8.671489204994722311e-01 8.684173599619473549e-01 8.677457498684770787e-01 8.679260043386699541e-01 8.686442116737166375e-01 8.673755580703627066e-01 8.698263422685891255e-01
6.408544726301736161e-02 9.219607857340488266e-01 2.254441342269648645e-03 9.227155830029262207e-01 9.210275508687789658e-01 9.217447047673250626e-01 9.212217312789483525e-01 9.222548435058930405e-01 9.217678590442632824e-01 9.219638317475893352e-01 9.224628857071544008e-01 9.214415704155970444e-01 9.235133204023104891e-01
6.809078771695595278e-02 9.753041096118985065e-01 1.885864878228592180e-03 9.761320073522402607e-01 9.745572121932246645e-01 9.751015171992410968e-01 9.746585549698362216e-01 9.754395634050052610e-01 9.751472108588166154e-01 9.753600397332674588e-01 9.756276717281334721e-01 9.748694583372397027e-01 9.765371840001164649e-01
7.209612817089453007e-02 1.027973192803313118e+00 1.554628600041528573e-03 1.028872112614779066e+00 1.027420407161056426e+00 1.027785775888143238e+00 1.027428253353025678e+00 1.027943517103719007e+00 1.027853214794087533e+00 1.028084081984757203e+00 1.028110955392725678e+00 1.027628124404377896e+00 1.028872504467984283e+00
7.610146862483312125e-02 1.079940326495711700e+00 1.314650116615968508e-03 1.080907393223234036e+00 1.079586892841489121e+00 1.079769612296325398e+00 1.079502027134739528e+00 1.079740810408771123e+00 1.079857590104732035e+00 1.080107708874533889e+00 1.079887191016071002e+00 1.079688811502643730e+00 1.080495733850903362e+00
