# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
4.008016032064128098e-02 5.942842163061525795e-01 6.346119576910409094e-03 5.911031434546243357e-01 5.904129873022778696e-01 5.955180473707513134e-01 5.962439391543841172e-01 5.940675905064932705e-01 5.936769159412094155e-01 5.944233266975499363e-01 5.956361801302164638e-01 5.945465163483472093e-01 5.970326250598707585e-01
4.408817635270540630e-02 6.515396878089313448e-01 5.555722733635389335e-03 6.489344461598264280e-01 6.480444370507709717e-01 6.526181916728565069e-01 6.531272778024412862e-01 6.514436740964082428e-01 6.509292689158339140e-01 6.517104252359385841e-01 6.527284992521567020e-01 6.516329185519529332e-01 6.540709504749154801e-01
4.809619238476953162e-02 7.082729927170083872e-01 4.641670894167864402e-03 7.063411448737489939e-01 7.052384077810627261e-01 7.091647493903914246e-01 7.094288637841301703e-01 7.083106648901262847e-01 7.076661334604122944e-01 7.084763538108613812e-01 7.092656931120493446e-01 7.081790845161088921e-01 7.105337336663503089e-01
5.210420841683366389e-02 7.644417296369301340e-01 3.668652967497684509e-03 7.632624167694992412e-01 7.619383076958541334e-01 7.651204067464576486e-01 7.651183954377736018e-01 7.646222335159028605e-01 7.638444318129904431e-01 7.646779002674619630e-01 7.652109846818884176e-01 7.641478886808058535e-01 7.663875940593574132e-01
5.611222444889778921e-02 8.200052811554442433e-01 2.756988429368160964e-03 8.196396632019753437e-01 8.180897892888767675e-01 8.204494773299864097e-01 8.201669853179234249e-01 8.203339077216844633e-01 8.194229336296353639e-01 8.202736519931974613e-01 8.205291959353561149e-01 8.195038590661778422e-01 8.216005603795578649e-01
6.012024048096192147e-02 8.749230045210247830e-01 2.179988516567990531e-03 8.754149631499101858e-01 8.736391011075305135e-01 8.751160399970809856e-01 8.745451878144177016e-01 8.754013340469788407e-01 8.743604438593792771e-01 8.752222084922320899e-01 8.751848752527824349e-01 8.742112729708395591e-01 8.761401731715026120e-01
6.412825651302604679e-02 9.291524286379141406e-01 2.334678212221409470e-03 9.305294685173053360e-01 9.285314013077075046e-01 9.290820991656516536e-01 9.282210762014144745e-01 9.297785308486131717e-01 9.286139961789461328e-01 9.294803959505949509e-01 9.291404492936652382e-01 9.282322803346819695e-01 9.299716208144173102e-01
6.813627254509017905e-02 9.826594556335312980e-01 3.159086047312158717e-03 9.849337764856523902e-01 9.827210389476113139e-01 9.823177586710927223e-01 9.811703424222737446e-01 9.834281421950689106e-01 9.821490441841445040e-01 9.830134867608459892e-01 9.823663910016536827e-01 9.815370365644442430e-01 9.830679077459161253e-01
7.214428857715429744e-02 1.035401112643253185e+00 4.286839707005140818e-03 1.038570775225783116e+00 1.036154382243590577e+00 1.034783954866679512e+00 1.033358998412459595e+00 1.036304213276835418e+00 1.034922219141454436e+00 1.035777956019445556e+00 1.034823946856098686e+00 1.034086427151354792e+00 1.035392561127426614e+00
7.615230460921842970e-02 1.087351315209374780e+00 5.518669042175813541e-03 1.091401546433506509e+00 1.088795623047814853e+00 1.086458199279256354e+00 1.084769058375786299e+00 1.088377998683768944e+00 1.086907075903838171e+00 1.087747261565648937e+00 1.086490877867078098e+00 1.085857772049765080e+00 1.086925389939153552e+00
