# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
4.008016032064128098e-02 8.397292143377112217e-02 7.250324097603347284e-02 4.716827002012955600e-02 3.441444099621723124e-02 8.929397946148065479e-02 8.374141571334395295e-02 9.253255255858468253e-02 7.465679203504001216e-02 8.309285247032725807e-02 9.617060140270550228e-02 7.788323498338482753e-02 1.168600330053731762e-01
4.408817635270540630e-02 8.010655566913511827e-02 6.987237137260045305e-02 4.558288164467542286e-02 3.226033559468081263e-02 8.486847603942437868e-02 7.563626442654924897e-02 8.844626646487374622e-02 7.054067732663843460e-02 8.006368358437276900e-02 9.160821966086211965e-02 7.398827182234805899e-02 1.123144366629346413e-01
4.809619238476953162e-02 7.683619539164608658e-02 6.699095281502973065e-02 4.491136616075357829e-02 3.084983806039225118e-02 8.092295336977127496e-02 6.833854330923065656e-02 8.484090427992449501e-02 6.706136424663204643e-02 7.774004249809636502e-02 8.743542349276690884e-02 7.073003033089661495e-02 1.078823117675123539e-01
5.210420841683366389e-02 7.422935950525183513e-02 6.399326453322219665e-02 4.521217346170022106e-02 3.015285129216006485e-02 7.754684080055659900e-02 6.204437731997226868e-02 8.180754146978214125e-02 6.426050741252557763e-02 7.618506894215172631e-02 8.376300728527931450e-02 6.815822825698086840e-02 1.037378113741714014e-01
5.611222444889778921e-02 7.231150069072216080e-02 6.092772557107509201e-02 4.658349959135907326e-02 3.016339513975095643e-02 7.477853330208357463e-02 5.680413957002660580e-02 7.938568225553516156e-02 6.214388856024116725e-02 7.542747775716106273e-02 8.064437726547253604e-02 6.628575891191147706e-02 9.998440379104019116e-02
6.012024048096192147e-02 7.109296765868558521e-02 5.781047039795513681e-02 4.918944516619000451e-02 3.091274865477721193e-02 7.263370403029768829e-02 5.257930446162926291e-02 7.759191234373966073e-02 6.070643102580244865e-02 7.548728643917078374e-02 7.810522869875398400e-02 6.511421967672140210e-02 9.668711539135796396e-02
6.412825651302604679e-02 7.057301850186264991e-02 5.466823632767797009e-02 5.327866730492149955e-02 3.247600193203334373e-02 7.111006870266499413e-02 4.927952289367796418e-02 7.642399862349427697e-02 5.993649711364362059e-02 7.637812380293118597e-02 7.614842423782541836e-02 6.463786095451012903e-02 9.387637863152176187e-02
6.813627254509017905e-02 7.075317053770460718e-02 5.162364241107421370e-02 5.921695984918169675e-02 3.498711029216111656e-02 7.020196272041347163e-02 4.679981949399619062e-02 7.587556402811315714e-02 5.982780672251589854e-02 7.811935757878699094e-02 7.476976816802187453e-02 6.485586957822293830e-02 9.156673926159673849e-02
7.214428857715429744e-02 7.163661899697804092e-02 4.905730501111626313e-02 6.751836014021285470e-02 3.865408816210717802e-02 6.990062459410417706e-02 4.503770878234923669e-02 7.593565341309353733e-02 6.037923925316694695e-02 8.073355174034280157e-02 7.395854469870309644e-02 6.577179495213876514e-02 8.975751799864839509e-02
7.615230460921842970e-02 7.323510251237244639e-02 4.793292130865065698e-02 7.888759300152274612e-02 4.378525761246972875e-02 7.020190870549858353e-02 4.390716438460298687e-02 7.659636200474680134e-02 6.160092960639271253e-02 8.425191309609197932e-02 7.370604869080622790e-02 6.739979150910238581e-02 8.844372658121807396e-02
8.016032064128256196e-02 7.556553072859126252e-02 5.019437844066940851e-02 9.425201126257364004e-02 5.081867862824054893e-02 7.110377223047964490e-02 4.333983562781552890e-02 7.784947933160014932e-02 6.351174616389770877e-02 8.870824106616136129e-02 7.400322918401169847e-02 6.976149600322117950e-02 8.761385573129462645e-02
8.416833667334668034e-02 7.865521096603514395e-02 5.864777088438700298e-02 1.147845383899031568e-01 6.036355148440349788e-02 7.261208250569069211e-02 4.328820940939415857e-02 7.969222003380196928e-02 6.614411479199558408e-02 9.414231901268289848e-02 7.484710236257170746e-02 7.289083987612632320e-02 8.725832284865248090e-02
8.817635270541081260e-02 8.253549906398040259e-02 7.585109157929781354e-02 1.418682914770809655e-01 7.323608624749718132e-02 7.473539279423947745e-02 4.372036600756847025e-02 8.212096326883622233e-02 6.953921038768386131e-02 1.005895837635545631e-01 7.623560003332358059e-02 7.682821477456940051e-02 8.736408353331484578e-02
9.218436873747494487e-02 8.724725286530288226e-02 1.033947099074341291e-01 1.769916310139429405e-01 9.049228178344180529e-02 7.749086282729482356e-02 4.462119940615247304e-02 8.513724953606818802e-02 7.375217905450992539e-02 1.080843707983156765e-01 7.817400409930159999e-02 8.162553832174052060e-02 8.792288730210885694e-02
9.619238476953906325e-02 9.283246344485461543e-02 1.422906552757274845e-01 2.214936431769609082e-01 1.134142270467682484e-01 8.089755769414255782e-02 4.598639442840417313e-02 8.874002243980572135e-02 7.884579385562986986e-02 1.166464181171750908e-01 8.066840970107652664e-02 8.733845800144302007e-02 8.892440354618465215e-02
1.002004008016031955e-01 9.933814641785788935e-02 1.932087878841163009e-01 2.761770765552662987e-01 1.434354056955974011e-01 8.498105411952244781e-02 4.782359174332341534e-02 9.293041236277101158e-02 8.489445383862592731e-02 1.262823135881215031e-01 8.373079394154371580e-02 9.402987299574494529e-02 9.036267981482117018e-02
1.042084168336673278e-01 1.068084979405938967e-01 2.560924042842484538e-01 3.407759988331783840e-01 1.819403935801340300e-01 8.976775877564105444e-02 5.014815731666232707e-02 9.770540768088598060e-02 9.197818461748526186e-02 1.369729142809199551e-01 8.737374801193595331e-02 1.017623460032179711e-01 9.223093950058071366e-02
1.082164328657314600e-01 1.152860828126902049e-01 3.295612315897397671e-01 4.134422229906989932e-01 2.299338130689625448e-01 9.528732064319234141e-02 5.298407714703604748e-02 1.030606376155387138e-01 1.001841200924216968e-01 1.486729858832558093e-01 9.161338692989978716e-02 1.105988137921849884e-01 9.452548533711484235e-02
1.122244488977955784e-01 1.248037350418660929e-01 4.104138858510988364e-01 4.904062517973248325e-01 2.875723761641976739e-01 1.015672383717861893e-01 5.636084849148317172e-02 1.089849266285647933e-01 1.095997087873440412e-01 1.613005551654703162e-01 9.646465357943385943e-02 1.205942659822723806e-01 9.724145148871232713e-02
1.162324649298597107e-01 1.353857547412801177e-01 4.935138943410930512e-01 5.660903777133504677e-01 3.536899215639048855e-01 1.086353393618264551e-01 6.031508110232360054e-02 1.154637354898174484e-01 1.203134715309943370e-01 1.747402202637249879e-01 1.019443437729541380e-01 1.317960295371040647e-01 1.003767398573496006e-01
1.202404809619238429e-01 1.470361578816479220e-01 5.721604210011652647e-01 6.337330405465151362e-01 4.254598683896385070e-01 1.165116252854054568e-01 6.488640908770663962e-02 1.224715309274775205e-01 1.324037858493861963e-01 1.888322957205542107e-01 1.080640299768932250e-01 1.442312980606890727e-01 1.039257215061138856e-01
1.242484969939879613e-01 1.597446018655973854e-01 6.390894058156842972e-01 6.866095783573945566e-01 4.984950887837165112e-01 1.252143005276430965e-01 7.012145239097608562e-02 1.299796739935830947e-01 1.459424847113941492e-01 2.033875130255320962e-01 1.148364197274423931e-01 1.579115306478370007e-01 1.078864138113073273e-01
1.282565130260520936e-01 1.734689906792959146e-01 6.878311950277761211e-01 7.194374442259610092e-01 5.674298412304529249e-01 1.347469126044897880e-01 7.606738648518863999e-02 1.379446827390498620e-01 1.609766671852866649e-01 2.181744641855974387e-01 1.222640567262589795e-01 1.728138521812789818e-01 1.122504615931676358e-01
1.322645290581162258e-01 1.881472451113689048e-01 7.142763968752218195e-01 7.297534989639589131e-01 6.270670334418736447e-01 1.451081892137038309e-01 8.277827702304753343e-02 1.463205687050619097e-01 1.775358554001372491e-01 2.329466710853929923e-01 1.303489803477401454e-01 1.888909701589377987e-01 1.170132208741739566e-01
1.362725450901803581e-01 2.036774667075525735e-01 7.176927699103865521e-01 7.185056358679483557e-01 6.735705852463012011e-01 1.562765923776419652e-01 9.030729858186546666e-02 1.550452042762647531e-01 1.956091531869935951e-01 2.474311076673127441e-01 1.390791169525452120e-01 2.060497841598562807e-01 1.221620243894165070e-01
1.402805611222444904e-01 2.199348246646244398e-01 7.009662428602035922e-01 6.898028223048153773e-01 7.054173842935711480e-01 1.682227919456822374e-01 9.871486210476342060e-02 1.640552913889181674e-01 2.151556537946844871e-01 2.613631264228497009e-01 1.484398292655055851e-01 2.241667377123112981e-01 1.276874647352133629e-01
1.442885771543085949e-01 2.367500221483541112e-01 6.696147775633962684e-01 6.495944916121489943e-01 7.234557375196439821e-01 1.808918006276368784e-01 1.080595193813744803e-01 1.732708104350000333e-01 2.360776987895586432e-01 2.744731964044129779e-01 1.583980365408474422e-01 2.430648177035694690e-01 1.335700381385665769e-01
1.482965931863727271e-01 2.539360413127543237e-01 6.301925219411390611e-01 6.040764176856046053e-01 7.302860497694732000e-01 1.942214488465962841e-01 1.184102859527655649e-01 1.826151690303616237e-01 2.582403553008333352e-01 2.865295992827634475e-01 1.689183740101799502e-01 2.625399191640549468e-01 1.397946788687932651e-01
1.523046092184368594e-01 2.712613409571009715e-01 5.884236763996342212e-01 5.581572801287196794e-01 7.289777917861958167e-01 2.081191624993177225e-01 1.298349112226334923e-01 1.919945635778604609e-01 2.814382471154649457e-01 2.973144953691673753e-01 1.799423320275237992e-01 2.823330965055293462e-01 1.463333892990028307e-01
1.563126252505009917e-01 2.884880396069258723e-01 5.481002516260958801e-01 5.148022135934188226e-01 7.220388796410678323e-01 2.224878502499468835e-01 1.424186989657886815e-01 2.013238103403598434e-01 3.054279621582213222e-01 3.066705904633957869e-01 1.914100957262071800e-01 3.021702352918909096e-01 1.531635943143738188e-01
1.603206412825651239e-01 3.053436043137971456e-01 5.107637282715692395e-01 4.750078334810902136e-01 7.107049176467106211e-01 2.372003787926690865e-01 1.562538228613119529e-01 2.105033940246908430e-01 3.298938044675729930e-01 3.144682036176521533e-01 2.032373989094027611e-01 3.217336105175274685e-01 1.602490208083731937e-01
1.643286573146292562e-01 3.215647730014702943e-01 4.763882113107540395e-01 4.384647513141478603e-01 6.950660800528476457e-01 2.521292928583895310e-01 1.714667470222282497e-01 2.194468687957997488e-01 3.544902387183659354e-01 3.206466556860240180e-01 2.153399443572495964e-01 3.407092327065919801e-01 1.675590127837531251e-01
1.683366733466933607e-01 3.368694073108893794e-01 4.443213251710201317e-01 4.042445914371600169e-01 6.744733360696113511e-01 2.671208164433039878e-01 1.882159046672506886e-01 2.280573102007030506e-01 3.788100610360743414e-01 3.251750176159751149e-01 2.276097155696612251e-01 3.587591867071438512e-01 1.750490628536229831e-01
