# Omega RhoOverOmega_mean RhoOverOmega_error RhoOverOmega_sample_0 RhoOverOmega_sample_1 RhoOverOmega_sample_2 RhoOverOmega_sample_3 RhoOverOmega_sample_4 RhoOverOmega_sample_5 RhoOverOmega_sample_6 RhoOverOmega_sample_7 RhoOverOmega_sample_8 RhoOverOmega_sample_9
0.000000000000000000e+00 1.000000000000060936e+03 5.725244337870001955e-11 1.000000000000071282e+03 1.000000000000052864e+03 1.000000000000083901e+03 1.000000000000066734e+03 1.000000000000079126e+03 1.000000000000087425e+03 1.000000000000048999e+03 1.000000000000050363e+03 1.000000000000027057e+03 1.000000000000050136e+03
4.008016032064127925e-03 1.943023140030917091e+02 6.887019770600581126e+00 1.911654289548530699e+02 1.913515464301423208e+02 1.939373292950080554e+02 1.964228442667073580e+02 1.931905180515855704e+02 1.924833752534006805e+02 1.936258144495058389e+02 1.955877584967666110e+02 1.972427952753138811e+02 1.973103160440913086e+02
8.016032064128255849e-03 8.367846160989763860e+01 5.466871362651154698e+00 8.120308424489998345e+01 8.134267191567637667e+01 8.339744499396448418e+01 8.536792993101994398e+01 8.279736544815946786e+01 8.224608793215102764e+01 8.314757124692930290e+01 8.470520050880840301e+01 8.601850149165116477e+01 8.608471319995068427e+01
1.202404809619238291e-02 4.924593325282515366e+01 4.424771892872323420e+00 4.725138059031500148e+01 4.735550858460870671e+01 4.902777922143418010e+01 5.061624343726701625e+01 4.853323933208457674e+01 4.809599254187490658e+01 4.882271048259524804e+01 5.008290298425345810e+01 5.113865247549321680e+01 5.120762560674234720e+01
1.603206412825651170e-02 3.336425396396593612e+01 3.645100755737051834e+00 3.172622655634322797e+01 3.180268819671676184e+01 3.319419525964379858e+01 3.449373083334659640e+01 3.277691271741149137e+01 3.242484616046341017e+01 3.302228711253309967e+01 3.405940569467986734e+01 3.491727316689318172e+01 3.499140614955577888e+01
2.004008016032064049e-02 2.463279494385821877e+01 3.050416450626461717e+00 2.326440832542993320e+01 2.331866939189233179e+01 2.450042693490469858e+01 2.557702109201650487e+01 2.414059025701577710e+01 2.385354288714740534e+01 2.435348037300543567e+01 2.522000821733864484e+01 2.592271812127078690e+01 2.600354605265190955e+01
2.404809619238476581e-02 1.932167992888753005e+01 2.587956493577781902e+00 1.816132638652338827e+01 1.819718817391238019e+01 1.921963728903132207e+01 2.012058563050620563e+01 1.890310470916493202e+01 1.866682425568250636e+01 1.909178285451937640e+01 1.982523436046497523e+01 2.040363964674485686e+01 2.049226862463120469e+01
2.805611222444889460e-02 1.587296575217867733e+01 2.221155106858201833e+00 1.487642750196692809e+01 1.489648658634451728e+01 1.579602935156161791e+01 1.655553129199407536e+01 1.551252997695817193e+01 1.531684866880537754e+01 1.568300240800803103e+01 1.631047655133289354e+01 1.678699560753406672e+01 1.688433579554358488e+01
3.206412825651302340e-02 1.353196671955958408e+01 1.924242278983660182e+00 1.266721289213659674e+01 1.267317981512990421e+01 1.347645464771520807e+01 1.411938496703025159e+01 1.321841404640731277e+01 1.305603479076071061e+01 1.337511727877665813e+01 1.391634035549904347e+01 1.430731311700423802e+01 1.441420213813771767e+01
3.607214428857714872e-02 1.189441290266009688e+01 1.678760283552730215e+00 1.113811495691649789e+01 1.113103619084095719e+01 1.185775978093924010e+01 1.240224676435888540e+01 1.161952164215415984e+01 1.148519806018853373e+01 1.176578073076231412e+01 1.223516900799967289e+01 1.255249348526811914e+01 1.266975900825716650e+01
