# Omega Rho_mean
0.000000000000000000e+00 6.131315158996514985e-05
1.002004008016032024e-02 1.020728409233717703e-04
2.004008016032064049e-02 1.207771342664864508e-04
3.006012024048096073e-02 1.304369480726033843e-04
4.008016032064128098e-02 2.426622932628682422e-04
5.010020040080159776e-02 2.173874045541228893e-03
6.012024048096192147e-02 2.151290710651284147e-02
7.014028056112224518e-02 1.155080780802248130e-01
8.016032064128256196e-02 3.008901295427353628e-01
9.018036072144287874e-02 3.961607951686942908e-01
1.002004008016031955e-01 3.110640552740610021e-01
1.102204408817635262e-01 1.802792007447391598e-01
1.202404809619238429e-01 9.334566297254182077e-02
1.302605210420841597e-01 4.954051990658532578e-02
1.402805611222444904e-01 2.922554483888624433e-02
1.503006012024047933e-01 1.986255330149118772e-02
1.603206412825651239e-01 1.564409191518877779e-02
1.703406813627254546e-01 1.414810038508919690e-02
1.803607214428857575e-01 1.447867094235549476e-02
1.903807615230460881e-01 1.649865696765626805e-02
2.004008016032063910e-01 2.057879560581107187e-02
2.104208416833667217e-01 2.758495081372714861e-02
2.204408817635270523e-01 3.898197400740403828e-02
2.304609218436873552e-01 5.697208349703004882e-02
2.404809619238476859e-01 8.455590222190449701e-02
2.505010020040079888e-01 1.253423137342163096e-01
2.605210420841683194e-01 1.828995646816147236e-01
2.705410821643286501e-01 2.595310389216393121e-01
2.805611222444889807e-01 3.546528339627630366e-01
2.905811623246493114e-01 4.633812391340904613e-01
3.006012024048095865e-01 5.762153828311908921e-01
3.106212424849699172e-01 6.804572080453907823e-01
3.206412825651302478e-01 7.631854244980138535e-01
3.306613226452905785e-01 8.146667588428021523e-01
3.406813627254509091e-01 8.307484507584281808e-01
3.507014028056111843e-01 8.133169161343708486e-01
3.607214428857715149e-01 7.689202302746910300e-01
3.707414829659318456e-01 7.064310859876389292e-01
3.807615230460921762e-01 6.347757681139694075e-01
3.907815631262525069e-01 5.613900926828920834e-01
4.008016032064127820e-01 4.915593397673584386e-01
4.108216432865731127e-01 4.284487504931230317e-01
4.208416833667334433e-01 3.735132229221045375e-01
4.308617234468937740e-01 3.270198936709880488e-01
4.408817635270541047e-01 2.885221723919138559e-01
4.509018036072144353e-01 2.572191675689373680e-01
4.609218436873747105e-01 2.321949688129904543e-01
4.709418837675350411e-01 2.125600663595014483e-01
4.809619238476953718e-01 1.975238612850089281e-01
4.909819639278557024e-01 1.864237214902894901e-01
5.010020040080159776e-01 1.787293225747134673e-01
5.110220440881763082e-01 1.740346032733319226e-01
5.210420841683366389e-01 1.720447152681396363e-01
5.310621242484969695e-01 1.725619819340179217e-01
5.410821643286573002e-01 1.754727829505600134e-01
5.511022044088176308e-01 1.807360179532860878e-01
5.611222444889779615e-01 1.883731392741145871e-01
5.711422845691382921e-01 1.984593796484286909e-01
5.811623246492986228e-01 2.111156203682209298e-01
5.911823647294588424e-01 2.265003069562155913e-01
6.012024048096191731e-01 2.448007900868450215e-01
6.112224448897795037e-01 2.662235450436767903e-01
6.212424849699398344e-01 2.909827912174551279e-01
6.312625250501001650e-01 3.192872023388931280e-01
6.412825651302604957e-01 3.513245806672259386e-01
6.513026052104208263e-01 3.872446354369837307e-01
6.613226452905811570e-01 4.271403156734756013e-01
6.713426853707414876e-01 4.710284803722574187e-01
6.813627254509018183e-01 5.188310278124615982e-01
6.913827655310621489e-01 5.703578787850862586e-01
7.014028056112223686e-01 6.252934110918609845e-01
7.114228456913826992e-01 6.831879590841324346e-01
7.214428857715430299e-01 7.434558567072344637e-01
7.314629258517033605e-01 8.053811480513938248e-01
7.414829659318636912e-01 8.681315438267704909e-01
7.515030060120240218e-01 9.307805315582737826e-01
7.615230460921843525e-01 9.923367859062310892e-01
7.715430861723446831e-01 1.051779300257570604e+00
7.815631262525050138e-01 1.108096062559573269e+00
7.915831663326653445e-01 1.160323684705883762e+00
8.016032064128255641e-01 1.207585264652563106e+00
8.116232464929858947e-01 1.249123906361796266e+00
