# Omega Rho_mean
0.000000000000000000e+00 3.413185573831971353e-02
1.002004008016032024e-02 3.991974061592798440e-02
2.004008016032064049e-02 4.530475949395136592e-02
3.006012024048096073e-02 5.018010411096209683e-02
4.008016032064128098e-02 5.452756376775549918e-02
5.010020040080159776e-02 5.840027309090964347e-02
6.012024048096192147e-02 6.190071385252490788e-02
7.014028056112224518e-02 6.515994564471909445e-02
8.016032064128256196e-02 6.832126465452977027e-02
9.018036072144287874e-02 7.152919116460849935e-02
1.002004008016031955e-01 7.492325915456020391e-02
1.102204408817635262e-01 7.863544584073189903e-02
1.202404809619238429e-01 8.278997475802472861e-02
1.302605210420841597e-01 8.750439553105097967e-02
1.402805611222444904e-01 9.289110351424653689e-02
1.503006012024047933e-01 9.905871235363795935e-02
1.603206412825651239e-01 1.061128922299295341e-01
1.703406813627254546e-01 1.141564315493562159e-01
1.803607214428857575e-01 1.232883813133352907e-01
1.903807615230460881e-01 1.336022179414180222e-01
2.004008016032063910e-01 1.451830247340660796e-01
2.104208416833667217e-01 1.581037588624596701e-01
2.204408817635270523e-01 1.724207427944920989e-01
2.304609218436873552e-01 1.881686000114521085e-01
2.404809619238476859e-01 2.053549382552108671e-01
2.505010020040079888e-01 2.239551626729777423e-01
2.605210420841683194e-01 2.439078628849848940e-01
2.705410821643286501e-01 2.651112501128845000e-01
2.805611222444889807e-01 2.874211111703972032e-01
2.905811623246493114e-01 3.106506869458663389e-01
3.006012024048095865e-01 3.345727712778999718e-01
3.106212424849699172e-01 3.589241692630198988e-01
3.206412825651302478e-01 3.834124622832179030e-01
3.306613226452905785e-01 4.077248230200157253e-01
3.406813627254509091e-01 4.315384301235258291e-01
3.507014028056111843e-01 4.545318723984080322e-01
3.607214428857715149e-01 4.763968300859305893e-01
3.707414829659318456e-01 4.968492849972674930e-01
3.807615230460921762e-01 5.156395502539443676e-01
3.907815631262525069e-01 5.325605170356211282e-01
4.008016032064127820e-01 5.474536732253892923e-01
4.108216432865731127e-01 5.602126417776448486e-01
4.208416833667334433e-01 5.707841867300784688e-01
4.308617234468937740e-01 5.791668232402581440e-01
4.408817635270541047e-01 5.854073247089475185e-01
4.509018036072144353e-01 5.895955347741134167e-01
4.609218436873747105e-01 5.918579567009282227e-01
4.709418837675350411e-01 5.923506104394125060e-01
4.809619238476953718e-01 5.912516242337481076e-01
4.909819639278557024e-01 5.887539704809523489e-01
5.010020040080159776e-01 5.850586799062119647e-01
5.110220440881763082e-01 5.803687791890667080e-01
5.210420841683366389e-01 5.748841109493929569e-01
5.310621242484969695e-01 5.687971127299292773e-01
5.410821643286573002e-01 5.622895638459227685e-01
5.511022044088176308e-01 5.555302537946547048e-01
5.611222444889779615e-01 5.486734875797708577e-01
5.711422845691382921e-01 5.418583178898868091e-01
5.811623246492986228e-01 5.352083832357963367e-01
5.911823647294588424e-01 5.288322275993336818e-01
6.012024048096191731e-01 5.228239848917795030e-01
6.112224448897795037e-01 5.172643200508539874e-01
6.212424849699398344e-01 5.122215343653460096e-01
6.312625250501001650e-01 5.077527562480621537e-01
6.412825651302604957e-01 5.039051552462796568e-01
6.513026052104208263e-01 5.007171295118264531e-01
6.613226452905811570e-01 4.982194312200570185e-01
6.713426853707414876e-01 4.964362045606686147e-01
6.813627254509018183e-01 4.953859203013918910e-01
6.913827655310621489e-01 4.950821978386521494e-01
7.014028056112223686e-01 4.955345124282831692e-01
7.114228456913826992e-01 4.967487880299831793e-01
7.214428857715430299e-01 4.987278807948198889e-01
7.314629258517033605e-01 5.014719597684660357e-01
7.414829659318636912e-01 5.049787924164300668e-01
7.515030060120240218e-01 5.092439444616643218e-01
7.615230460921843525e-01 5.142609032189665585e-01
7.715430861723446831e-01 5.200211336703607357e-01
7.815631262525050138e-01 5.265140776042290804e-01
7.915831663326653445e-01 5.337271044109525020e-01
8.016032064128255641e-01 5.416454237548041784e-01
8.116232464929858947e-01 5.502519682641873189e-01
8.216432865731462254e-01 5.595272559246311506e-01
8.316633266533065560e-01 5.694492402478994464e-01
8.416833667334668867e-01 5.799931569173275570e-01
8.517034068136272174e-01 5.911313747368927007e-01
8.617234468937875480e-01 6.028332588483217291e-01
8.717434869739478787e-01 6.150650538290672875e-01
8.817635270541082093e-01 6.277897927826314728e-01
8.917835671342685400e-01 6.409672399930846920e-01
9.018036072144288706e-01 6.545538720301774527e-01
9.118236472945890903e-01 6.685029022494864970e-01
9.218436873747494209e-01 6.827643535921403828e-01
9.318637274549097516e-01 6.972851818945007274e-01
9.418837675350700822e-01 7.120094521858725267e-01
9.519038076152304129e-01 7.268785686800021129e-01
9.619238476953907435e-01 7.418315580091480177e-01
9.719438877755510742e-01 7.568054041515248631e-01
9.819639278557114048e-01 7.717354320356030195e-01
9.919839679358717355e-01 7.865557353799259577e-01
1.002004008016031955e+00 8.011996434405261880e-01
1.012024048096192397e+00 8.156002208551156318e-01
1.022044088176352616e+00 8.296907916753295531e-01
1.032064128256513058e+00 8.434054810976875372e-01
1.042084168336673278e+00 8.566797649491362243e-01
1.052104208416833719e+00 8.694510180796337639e-01
1.062124248496993939e+00 8.816590528184904407e-01
1.072144288577154159e+00 8.932466379639325549e-01
1.082164328657314600e+00 9.041599895563022793e-01
1.092184368737474820e+00 9.143492255213515607e-01
1.102204408817635262e+00 9.237687761986725921e-01
1.112224448897795481e+00 9.323777449965330311e-01
1.122244488977955923e+00 9.401402129639295779e-01
1.132264529058116143e+00 9.470254837740488263e-01
1.142284569138276584e+00 9.530082657014157244e-01
1.152304609218436804e+00 9.580687891578386628e-01
1.162324649298597246e+00 9.621928596525129995e-01
1.172344689378757465e+00 9.653718467076966014e-01
1.182364729458917685e+00 9.676026110648420220e-01
1.192384769539078126e+00 9.688873738452400408e-01
1.202404809619238346e+00 9.692335308021999829e-01
1.212424849699398788e+00 9.686534175086096710e-01
1.222444889779559007e+00 9.671640312117883997e-01
1.232464929859719449e+00 9.647867142852174505e-01
1.242484969939879669e+00 9.615468071254750226e-01
1.252505010020040110e+00 9.574732761764144229e-01
1.262525050100200330e+00 9.525983239063073871e-01
1.272545090180360772e+00 9.469569871893424029e-01
1.282565130260520991e+00 9.405867302856373291e-01
1.292585170340681211e+00 9.335270378461884011e-01
1.302605210420841653e+00 9.258190140922332168e-01
1.312625250501001872e+00 9.175049918943228855e-01
1.322645290581162314e+00 9.086281570812004826e-01
1.332665330661322534e+00 8.992321904283128164e-01
1.342685370741482975e+00 8.893609316513756413e-01
1.352705410821643195e+00 8.790580665921938763e-01
1.362725450901803637e+00 8.683668400947549548e-01
1.372745490981963856e+00 8.573297956889535110e-01
1.382765531062124298e+00 8.459885425644901868e-01
1.392785571142284518e+00 8.343835503870090653e-01
1.402805611222444737e+00 8.225539712529856828e-01
1.412825651302605179e+00 8.105374889534492366e-01
1.422845691382765398e+00 7.983701937282560168e-01
1.432865731462925840e+00 7.860864821252828705e-01
1.442885771543086060e+00 7.737189799877604024e-01
1.452905811623246501e+00 7.612984873572783417e-01
1.462925851703406721e+00 7.488539436066216082e-01
1.472945891783567163e+00 7.364124105995646374e-01
1.482965931863727382e+00 7.239990728122446262e-01
1.492985971943887824e+00 7.116372519196874080e-01
1.503006012024048044e+00 6.993484346057878831e-01
1.513026052104208263e+00 6.871523115070830023e-01
1.523046092184368705e+00 6.750668258801939547e-01
1.533066132264528925e+00 6.631082302961280872e-01
1.543086172344689366e+00 6.512911498918471098e-01
1.553106212424849586e+00 6.396286509650648267e-01
1.563126252505010028e+00 6.281323136135587015e-01
1.573146292585170247e+00 6.168123069172171125e-01
1.583166332665330689e+00 6.056774663896605793e-01
1.593186372745490909e+00 5.947353720206527417e-01
1.603206412825651128e+00 5.839924266806790776e-01
1.613226452905811570e+00 5.734539337267466896e-01
1.623246492985971789e+00 5.631241737446688322e-01
1.633266533066132231e+00 5.530064792501296900e-01
1.643286573146292451e+00 5.431033077384475050e-01
1.653306613226452892e+00 5.334163118064869646e-01
1.663326653306613112e+00 5.239464070859760625e-01
1.673346693386773554e+00 5.146938368170982381e-01
1.683366733466933773e+00 5.056582336649785292e-01
1.693386773547094215e+00 4.968386782075754349e-01
1.703406813627254435e+00 4.882337543150642167e-01
1.713426853707414654e+00 4.798416012469587377e-01
1.723446893787575096e+00 4.716599624638781463e-01
1.733466933867735316e+00 4.636862314893046566e-01
1.743486973947895757e+00 4.559174943270281055e-01
1.753507014028055977e+00 4.483505692032915824e-01
1.763527054108216419e+00 4.409820431612829772e-01
1.773547094188376638e+00 4.338083059060558466e-01
1.783567134268537080e+00 4.268255809880998064e-01
1.793587174348697300e+00 4.200299544140131403e-01
1.803607214428857741e+00 4.134174007883304469e-01
1.813627254509017961e+00 4.069838072760668668e-01
1.823647294589178181e+00 4.007249951885525907e-01
1.833667334669338622e+00 3.946367397659985565e-01
1.843687374749498842e+00 3.887147878954281266e-01
1.853707414829659283e+00 3.829548742128933148e-01
1.863727454909819503e+00 3.773527352874410101e-01
1.873747494989979945e+00 3.719041226336837203e-01
1.883767535070140164e+00 3.666048139949177331e-01
1.893787575150300606e+00 3.614506234359379233e-01
1.903807615230460826e+00 3.564374102913401843e-01
1.913827655310621267e+00 3.515610869034506147e-01
1.923847695390781487e+00 3.468176253706595769e-01
1.933867735470941707e+00 3.422030634080949207e-01
1.943887775551102148e+00 3.377135093087258455e-01
1.953907815631262368e+00 3.333451461280558803e-01
1.963927855711422810e+00 3.290942352342883792e-01
1.973947895791583029e+00 3.249571191453725083e-01
1.983967935871743471e+00 3.209302238276705022e-01
1.993987975951903691e+00 3.170100604854487747e-01
2.004008016032063910e+00 3.131932268231523153e-01
2.014028056112224352e+00 3.094764079867756146e-01
2.024048096192384794e+00 3.058563770632680145e-01
2.034068136272544791e+00 3.023299952298790783e-01
2.044088176352705233e+00 2.988942116674381810e-01
2.054108216432865675e+00 2.955460631928841231e-01
2.064128256513026116e+00 2.922826736145027193e-01
2.074148296593186114e+00 2.891012529290817867e-01
2.084168336673346555e+00 2.859990963617057291e-01
2.094188376753506997e+00 2.829735831761631126e-01
2.104208416833667439e+00 2.800221754292643306e-01
2.114228456913827436e+00 2.771424165771445014e-01
2.124248496993987878e+00 2.743319299504213826e-01
2.134268537074148320e+00 2.715884172458232215e-01
2.144288577154308317e+00 2.689096568598309256e-01
2.154308617234468759e+00 2.662935021763382926e-01
2.164328657314629201e+00 2.637378798904290167e-01
2.174348697394789642e+00 2.612407881900250528e-01
2.184368737474949640e+00 2.588002950014220982e-01
2.194388777555110082e+00 2.564145361801520306e-01
2.204408817635270523e+00 2.540817136839849111e-01
2.214428857715430965e+00 2.518000937930131578e-01
2.224448897795590963e+00 2.495680052561371487e-01
2.234468937875751404e+00 2.473838375131406087e-01
2.244488977955911846e+00 2.452460389362817739e-01
2.254509018036071843e+00 2.431531149851669238e-01
2.264529058116232285e+00 2.411036265204635765e-01
2.274549098196392727e+00 2.390961880527059935e-01
2.284569138276553169e+00 2.371294660434102863e-01
2.294589178356713166e+00 2.352021772118839116e-01
2.304609218436873608e+00 2.333130869080161096e-01
2.314629258517034049e+00 2.314610074952967722e-01
2.324649298597194491e+00 2.296447967528148781e-01
2.334669338677354489e+00 2.278633563524800065e-01
2.344689378757514930e+00 2.261156302937498142e-01
2.354709418837675372e+00 2.244006034809763461e-01
2.364729458917835370e+00 2.227173002304628224e-01
2.374749498997995811e+00 2.210647828834097495e-01
2.384769539078156253e+00 2.194421504135100898e-01
2.394789579158316695e+00 2.178485370958093970e-01
2.404809619238476692e+00 2.162831112052082394e-01
2.414829659318637134e+00 2.147450737230937878e-01
2.424849699398797576e+00 2.132336571508280654e-01
2.434869739478958017e+00 2.117481242536564112e-01
2.444889779559118015e+00 2.102877669322376353e-01
2.454909819639278457e+00 2.088519050781616482e-01
2.464929859719438898e+00 2.074398854920372071e-01
