# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
4.408817635270540630e-02 5.565882822774053107e-01 3.666121672969457901e-02 5.275041999392457992e-01 5.488614003927064777e-01 5.513505272183178985e-01 5.577019129429552358e-01 5.562241930909983534e-01 5.393482106695066669e-01 5.564028362966930708e-01 5.574378659461851626e-01 5.464661369960236437e-01 5.531373620309681938e-01
4.809619238476953162e-02 5.846030752724851176e-01 3.940838844684866477e-02 5.536412956951847208e-01 5.768273544775293082e-01 5.790313230130919031e-01 5.850303528931374286e-01 5.843504208487678708e-01 5.661644638426609477e-01 5.847496263073977962e-01 5.853154542109193503e-01 5.725882259143084685e-01 5.800335088799105643e-01
5.210420841683366389e-02 6.159420841606967345e-01 4.249243302454017851e-02 5.829036970691781061e-01 6.080817485041940529e-01 6.100050951258071397e-01 6.156630619398207882e-01 6.158041959569056090e-01 5.961885722517777930e-01 6.164366713610557325e-01 6.165147167380058413e-01 6.019159548555733652e-01 6.101927667412992973e-01
5.611222444889778921e-02 6.506109779956378292e-01 4.589463360415314136e-02 6.153056517558170846e-01 6.426342939452819314e-01 6.442753406164388741e-01 6.496065503919657980e-01 6.505927556275007406e-01 6.294283886598608380e-01 6.514671742149724665e-01 6.510390327756193640e-01 6.344607064208855896e-01 6.436220047071087302e-01
6.012024048096192147e-02 6.885402776224942567e-01 4.958749438319761532e-02 6.507921923239519124e-01 6.804201922423852578e-01 6.817710492830707514e-01 6.867939217406783259e-01 6.886480319168792885e-01 6.658200187591998276e-01 6.897680623713081660e-01 6.888167511681987376e-01 6.701640671031835472e-01 6.802559205283225108e-01
6.412825651302604679e-02 7.296059538875632189e-01 5.353613378664396488e-02 6.892586119746375584e-01 7.213203340529322771e-01 7.223671684992907238e-01 7.271056234241884964e-01 7.298471504600219095e-01 7.052478290281684048e-01 7.312105622408344718e-01 7.297219080340152653e-01 7.089182399693831904e-01 7.199776602299106099e-01
6.813627254509017905e-02 7.736416154678658064e-01 5.769948103521069238e-02 7.305617502735833879e-01 7.651732494089427128e-01 7.658967451908854640e-01 7.703815560277205154e-01 7.740245420332564352e-01 7.475561863526362094e-01 7.756224943884494349e-01 7.735864980267738167e-01 7.505777533155884029e-01 7.626308025075055896e-01
7.214428857715429744e-02 8.204464951080622237e-01 6.203151830672628403e-02 7.745271198906596988e-01 8.117829328756090979e-01 8.121589174217112017e-01 8.164288265638994790e-01 8.209798665523474481e-01 7.925570380543563997e-01 8.227964645904747298e-01 8.202085255935581687e-01 7.949667233764293739e-01 8.080269735514939988e-01
7.615230460921842970e-02 8.697915055881321189e-01 6.648265979837249262e-02 8.209540718595392805e-01 8.609247743356580607e-01 8.609250022339289821e-01 8.650274675842107852e-01 8.704840194074934256e-01 8.400355563345547338e-01 8.724961938024240471e-01 8.693581134289040113e-01 8.418839929385985021e-01 8.559514065894353596e-01
8.016032064128256196e-02 9.214245371712683763e-01 7.100126726115284226e-02 8.696201586550933449e-01 9.123507500338479126e-01 9.119438337272037787e-01 9.159353326337128509e-01 9.222843940039227029e-01 8.897550033005152681e-01 9.244621321426127469e-01 9.207828400129660640e-01 8.911073753505638351e-01 9.061676574662239636e-01
8.416833667334668034e-02 9.750755402788010562e-01 7.553524809981428112e-02 9.202852613831540296e-01 9.657944128407615070e-01 9.649468819612472270e-01 9.688927451721034423e-01 9.761099474198704495e-01 9.414613635661936986e-01 9.784168746424741769e-01 9.742128477774458784e-01 9.423976118492456422e-01 9.584220594419153860e-01
8.817635270541081260e-02 1.030461581414081396e+00 8.003365537734434543e-02 9.726957091713965831e-01 1.020975870904392346e+00 1.019653331128878015e+00 1.023627118868849717e+00 1.031676259906339599e+00 9.948879460975862399e-01 1.034070542197946807e+00 1.029365907350978437e+00 9.955022966820028518e-01 1.012448144108761605e+00
9.218436873747494487e-02 1.087291866536513885e+00 8.444820175118269989e-02 1.026588430402532559e+00 1.077606752251729638e+00 1.075775104810719363e+00 1.079857569693386088e+00 1.088690583803680001e+00 1.049759967763390200e+00 1.091126100164295565e+00 1.085952430278406711e+00 1.050159827628059706e+00 1.067971058936017625e+00
9.619238476953906325e-02 1.145272631055080925e+00 8.873460604867755563e-02 1.081695077320796061e+00 1.135395057923077378e+00 1.133021734074465492e+00 1.137299440606681200e+00 1.146856780694011535e+00 1.105799036562108650e+00 1.149284496252188648e+00 1.143680328914248312e+00 1.106103336352846966e+00 1.124711911979833667e+00
