# Omega Rho_mean
0.000000000000000000e+00 8.149316087863759869e-03
1.002004008016032024e-02 1.362392578916489863e-02
2.004008016032064049e-02 1.962945008144236642e-02
3.006012024048096073e-02 2.609821854309239339e-02
4.008016032064128098e-02 3.315310950082751840e-02
5.010020040080159776e-02 4.099052940028624636e-02
6.012024048096192147e-02 4.983655024286245960e-02
7.014028056112224518e-02 5.991184527672218513e-02
8.016032064128256196e-02 7.139512718107536571e-02
9.018036072144287874e-02 8.438219587507450603e-02
1.002004008016031955e-01 9.884080576619271030e-02
1.102204408817635262e-01 1.145664728620524875e-01
1.202404809619238429e-01 1.311500297615984800e-01
1.302605210420841597e-01 1.479722871942232010e-01
1.402805611222444904e-01 1.642419580883242580e-01
1.503006012024047933e-01 1.790871556182638824e-01
1.603206412825651239e-01 1.916959833166778648e-01
1.703406813627254546e-01 2.014785212164501016e-01
1.803607214428857575e-01 2.081996999132869064e-01
1.903807615230460881e-01 2.120294012151356100e-01
2.004008016032063910e-01 2.134868027690312864e-01
2.104208416833667217e-01 2.133059559956044793e-01
2.204408817635270523e-01 2.122819938404206797e-01
2.304609218436873552e-01 2.111511415942135539e-01
2.404809619238476859e-01 2.105266160291404676e-01
2.505010020040079888e-01 2.108836927930560767e-01
2.605210420841683194e-01 2.125746624530827633e-01
2.705410821643286501e-01 2.158554686156280711e-01
2.805611222444889807e-01 2.209122793543648045e-01
2.905811623246493114e-01 2.278823748031057195e-01
3.006012024048095865e-01 2.368676610555601469e-01
3.106212424849699172e-01 2.479410784312118254e-01
3.206412825651302478e-01 2.611469391907958459e-01
3.306613226452905785e-01 2.764964503793540529e-01
3.406813627254509091e-01 2.939597320364116806e-01
3.507014028056111843e-01 3.134557051067861644e-01
3.607214428857715149e-01 3.348413471916008577e-01
3.707414829659318456e-01 3.579019717025426761e-01
3.807615230460921762e-01 3.823443123524262743e-01
3.907815631262525069e-01 4.077942038851657403e-01
4.008016032064127820e-01 4.338004575274196917e-01
4.108216432865731127e-01 4.598460708497694727e-01
4.208416833667334433e-01 4.853671702489914530e-01
4.308617234468937740e-01 5.097791001641033271e-01
4.408817635270541047e-01 5.325079672625242511e-01
4.509018036072144353e-01 5.530248988045474157e-01
4.609218436873747105e-01 5.708795046407344476e-01
4.709418837675350411e-01 5.857287552279876186e-01
4.809619238476953718e-01 5.973578347570117630e-01
4.909819639278557024e-01 6.056905104876603163e-01
5.010020040080159776e-01 6.107880116228796563e-01
5.110220440881763082e-01 6.128370476887980978e-01
5.210420841683366389e-01 6.121290634259466401e-01
5.310621242484969695e-01 6.090338228378864294e-01
5.410821643286573002e-01 6.039707782048774343e-01
5.511022044088176308e-01 5.973814196228989237e-01
5.611222444889779615e-01 5.897050786729364225e-01
5.711422845691382921e-01 5.813597089801965101e-01
5.811623246492986228e-01 5.727282202705387126e-01
5.911823647294588424e-01 5.641501649035332022e-01
6.012024048096191731e-01 5.559180524191577044e-01
6.112224448897795037e-01 5.482772980929797590e-01
6.212424849699398344e-01 5.414287548689435958e-01
6.312625250501001650e-01 5.355328645584042091e-01
6.412825651302604957e-01 5.307146286563685367e-01
6.513026052104208263e-01 5.270687914954467201e-01
6.613226452905811570e-01 5.246648101556645738e-01
6.713426853707414876e-01 5.235513425352538164e-01
6.813627254509018183e-01 5.237601063500403331e-01
6.913827655310621489e-01 5.253090513980643861e-01
7.014028056112223686e-01 5.282048475511670338e-01
7.114228456913826992e-01 5.324447298078585078e-01
7.214428857715430299e-01 5.380177633305039953e-01
7.314629258517033605e-01 5.449056029109271559e-01
7.414829659318636912e-01 5.530828249621153603e-01
7.515030060120240218e-01 5.625169109522472066e-01
7.615230460921843525e-01 5.731679590405456270e-01
7.715430861723446831e-01 5.849881985184797184e-01
7.815631262525050138e-01 5.979213795827132971e-01
7.915831663326653445e-01 6.119021087964386929e-01
8.016032064128255641e-01 6.268551985784727165e-01
8.116232464929858947e-01 6.426950972055267552e-01
8.216432865731462254e-01 6.593254630543680106e-01
8.316633266533065560e-01 6.766389424812154774e-01
