# Omega Rho_mean Rho_error Rho_sample_0 Rho_sample_1 Rho_sample_2 Rho_sample_3 Rho_sample_4 Rho_sample_5 Rho_sample_6 Rho_sample_7 Rho_sample_8 Rho_sample_9
1.002004008016031955e-01 1.414832573770888891e-01 1.367223218221327308e-01 1.470120362371105660e-01 9.230035678154738243e-02 1.013679491724798765e-01 9.453680445420245548e-02 9.981879411284383385e-02 1.005623370109902381e-01 9.263093954205221803e-02 9.969873658080975753e-02 8.078112595477104918e-02 1.062692179353224298e-01
1.102204408817635262e-01 1.284519191879822664e-01 6.524005060905112285e-02 1.819331740949287068e-01 1.200897171885809689e-01 1.276070900767848071e-01 1.155599168881205202e-01 1.224681769737350767e-01 1.243798084009773569e-01 1.141792792068511975e-01 1.220312374813377759e-01 9.914155896384051203e-02 1.250922460490978549e-01
1.202404809619238429e-01 1.151194363154656175e-01 1.228385082968501268e-01 2.071838147887212211e-01 1.487876654835230128e-01 1.529264888388808807e-01 1.342817977448974298e-01 1.438438405182773938e-01 1.468063009032912203e-01 1.353235443783236958e-01 1.428973887983399638e-01 1.172780889149738631e-01 1.415758202318971870e-01
1.302605210420841597e-01 1.036974536350961790e-01 1.998541146588601325e-01 2.099512012359559532e-01 1.745375674647761111e-01 1.742922802492905821e-01 1.508032528246615045e-01 1.615687931237682895e-01 1.651516849639175499e-01 1.538931073438402353e-01 1.600400623898244612e-01 1.340816259932227639e-01 1.563086546644576191e-01
1.402805611222444904e-01 9.509854501702197371e-02 2.551881569706319075e-01 1.886232604624963061e-01 1.940238013846640464e-01 1.896201620097595353e-01 1.652766900123366078e-01 1.742759170413537007e-01 1.778662544485975494e-01 1.684488663440198430e-01 1.722828936422828028e-01 1.509250313054120995e-01 1.677984194769919501e-01
1.503006012024047933e-01 8.965702867625664763e-02 2.909634428365256431e-01 1.549028214786813684e-01 2.055801691660703867e-01 1.979919265791944827e-01 1.766677812918218404e-01 1.818977704288683162e-01 1.848901707869604338e-01 1.786291201917673821e-01 1.797361688912758881e-01 1.728707449359072335e-01 1.750640643439128064e-01
1.603206412825651239e-01 8.752400129569792853e-02 3.126368938064654213e-01 1.223965127220083132e-01 2.095277978436623501e-01 1.999094658065176389e-01 1.833175789289339386e-01 1.854126896156968463e-01 1.873541947629508986e-01 1.850399593532301989e-01 1.834756363167212301e-01 2.035857751167809426e-01 1.786014721093960589e-01
1.703406813627254546e-01 8.884588900388606936e-02 3.211845271010677627e-01 9.801746642176253910e-02 2.076859814437464757e-01 1.973481940244979638e-01 1.844624422474741843e-01 1.863193324622092195e-01 1.869604779159130536e-01 1.888644434759085278e-01 1.850013265247092420e-01 2.357828359493253645e-01 1.798199597296169794e-01
1.803607214428857575e-01 9.384920949789973821e-02 3.120396569687133859e-01 8.258386147160103052e-02 2.024743103843317793e-01 1.928533292716910763e-01 1.812382038891294234e-01 1.861509008191230830e-01 1.854201275095786194e-01 1.914427196769061812e-01 1.857774987388156607e-01 2.545993781884859919e-01 1.803254895863012630e-01
1.903807615230460881e-01 1.028798277246105869e-01 2.828493814193456801e-01 7.456719430511191127e-02 1.961475025823561924e-01 1.884881478595488991e-01 1.765633974454645094e-01 1.861845423834764257e-01 1.841297051238191818e-01 1.939798927631750380e-01 1.869787514859178601e-01 2.539270268795711383e-01 1.814753632276941975e-01
2.004008016032063910e-01 1.163984638117714909e-01 2.390361917338172659e-01 7.244891518078792891e-02 1.904231460976223422e-01 1.855152904547819059e-01 1.742921420695069390e-01 1.873431262575277756e-01 1.840754716959970005e-01 1.974103718465761992e-01 1.894176415946391689e-01 2.413208879426206321e-01 1.842152191749852896e-01
2.104208416833667217e-01 1.349240823107541176e-01 1.888960703475484892e-01 7.545821832960787623e-02 1.864392188732829081e-01 1.845791021763802664e-01 1.782921669173282708e-01 1.902150402166731813e-01 1.858715573575276392e-01 2.023734917906933328e-01 1.935741530059201243e-01 2.278771116799425400e-01 1.890957287841134038e-01
2.204408817635270523e-01 1.589206885941708003e-01 1.403144706012968979e-01 8.361632681771768993e-02 1.848702535749997822e-01 1.859487186137928350e-01 1.917153400651735173e-01 1.951188942664242032e-01 1.898443206574496611e-01 2.092420638890007956e-01 1.996590387963712299e-01 2.198956563736647607e-01 1.963518744746666211e-01
2.304609218436873552e-01 1.886330246689168488e-01 1.081525319998877799e-01 9.763110043712953934e-02 1.860747085141540302e-01 1.896770996882781168e-01 2.162655191686115586e-01 2.021687206140014292e-01 1.961119399819168663e-01 2.181628687160317714e-01 2.076742794513329604e-01 2.185216249963470303e-01 2.059769636097646406e-01
2.404809619238476859e-01 2.238935884297575951e-01 1.197128092750971012e-01 1.187916497886227774e-01 1.902144291911727347e-01 1.956874822637923728e-01 2.512288506639957508e-01 2.113233545398425783e-01 2.046418200787810393e-01 2.290905180753060044e-01 2.174607217562863903e-01 2.224982957353903446e-01 2.177785136077819705e-01
2.505010020040079888e-01 2.639443453964814834e-01 1.734341117618572459e-01 1.488440680125990567e-01 1.973308156853424977e-01 2.038186386919768334e-01 2.925390113575080941e-01 2.224199846363645872e-01 2.152868815790762169e-01 2.418124585579733976e-01 2.287364184922411892e-01 2.301350818230325501e-01 2.314301548944102116e-01
2.605210420841683194e-01 3.073316821657903208e-01 2.446480532477718350e-01 1.897763688992614717e-01 2.073822376532640788e-01 2.138500295107579052e-01 3.328117806233947262e-01 2.351984019840382967e-01 2.278087768686588577e-01 2.559712318402258546e-01 2.411327105951492911e-01 2.400114030238779117e-01 2.465361642623662419e-01
2.705410821643286501e-01 3.519303430710101210e-01 3.191597478146284139e-01 2.434283279910669784e-01 2.202540069399989975e-01 2.255203532975805780e-01 3.632521468796708897e-01 2.493242167240303231e-01 2.418977891251564982e-01 2.710919240300854738e-01 2.542345157743370887e-01 2.510591758800674866e-01 2.627195358394487923e-01
2.805611222444889807e-01 3.951246662898836859e-01 3.899784777157535021e-01 3.108532584284821043e-01 2.357525272070347400e-01 2.385453046430212054e-01 3.770823105547791432e-01 2.644151310138380673e-01 2.571946619521151001e-01 2.866206421226943357e-01 2.676243986576680167e-01 2.624879598824638727e-01 2.797443778323067676e-01
2.905811623246493114e-01 4.341290340453549668e-01 4.534483417720499565e-01 3.914113067005610125e-01 2.535944344562146013e-01 2.526383151287603934e-01 3.725689606755678840e-01 2.800725499954311859e-01 2.733178410196965835e-01 3.019745426368338204e-01 2.809280409169321313e-01 2.737207059039842294e-01 2.976682034520053421e-01
3.006012024048095865e-01 4.663817521957375756e-01 5.070484458926823867e-01 4.817080947673167413e-01 2.733990569494081924e-01 2.675319780403915271e-01 3.536301767764293835e-01 2.959147058313456036e-01 2.898930598510608414e-01 3.165990555943548057e-01 2.938525063319988306e-01 2.843630248337326583e-01 3.169070088625425274e-01
3.106212424849699172e-01 4.899186610893408456e-01 5.476796035650884908e-01 5.747434731979520484e-01 2.946909839666211339e-01 2.829998190582431739e-01 3.277769428857579825e-01 3.116087442783706529e-01 3.065835100396704926e-01 3.300234981200651507e-01 3.062135173882284400e-01 2.941929838290011090e-01 3.378961959912877844e-01
3.206412825651302478e-01 5.036373430874973023e-01 5.710312630872305117e-01 6.599298265412781861e-01 3.169156390855341066e-01 2.988723889221527874e-01 3.029875389538796981e-01 3.268944347753811042e-01 3.231132106983672370e-01 3.419057142146297301e-01 3.179445648417223991e-01 3.031528273646019178e-01 3.601493242875488665e-01
3.306613226452905785e-01 5.073971927356345502e-01 5.718899084852694381e-01 7.246835326312748293e-01 3.394682411524632681e-01 3.150466079638963857e-01 2.853526570365981785e-01 3.415977446688249763e-01 3.392817984706845147e-01 3.520581860640889516e-01 3.290901871175322402e-01 3.113358428386197030e-01 3.813749966848171691e-01
3.406813627254509091e-01 5.019492982885185306e-01 5.451693715995316047e-01 7.576945239941932364e-01 3.617325822801624180e-01 3.314846091091035452e-01 2.782088949004695166e-01 3.556319420918396812e-01 3.549678014602924425e-01 3.604525738862009998e-01 3.397852382512233094e-01 3.189655441666348623e-01 3.979923881629520710e-01
3.507014028056111843e-01 4.887337257901816501e-01 4.879507685031264641e-01 7.527859738294608860e-01 3.831238396921404221e-01 3.482004414487497312e-01 2.823874067234928287e-01 3.689875680643414646e-01 3.701211435782146286e-01 3.672044431862594438e-01 3.502256243531217672e-01 3.263692532692493709e-01 4.072261558120728320e-01
3.607214428857715149e-01 4.696067240421065159e-01 4.019758365162268143e-01 7.113760964435367207e-01 4.031289756191710483e-01 3.652351488608402974e-01 2.968775944915205689e-01 3.817151179829837981e-01 3.847482881583733083e-01 3.725435684815240900e-01 3.606371320083772147e-01 3.339492146143835938e-01 4.089155798851055179e-01
3.707414829659318456e-01 4.465629636926087276e-01 2.951299901305811102e-01 6.420183740073948098e-01 4.213387251150761958e-01 3.826210447937651304e-01 3.194511991538989126e-01 3.939028379347100928e-01 3.988918996593871502e-01 3.767768589416249925e-01 3.712450551005441191e-01 3.421506347311026874e-01 4.053225358229678443e-01
3.807615230460921762e-01 4.215032133418126215e-01 1.831940988789074187e-01 5.572406238183205129e-01 4.374678734808157832e-01 4.003437314146898740e-01 3.471323438304972919e-01 4.056545355444547418e-01 4.126099474662208166e-01 3.802506933613367113e-01 3.822491234549263428e-01 3.514260944665745234e-01 3.994727727584303500e-01
3.907815631262525069e-01 3.960749452535429205e-01 1.093256661746327546e-01 4.694902650537823297e-01 4.513625946020394797e-01 4.183128746036516299e-01 3.765836184771411688e-01 4.170697363634736088e-01 4.259565924553045391e-01 3.833176162500327444e-01 3.938043403027039480e-01 3.621929162281069536e-01 3.937315195764656828e-01
4.008016032064127820e-01 3.715909092908989964e-01 1.527587493574338318e-01 3.881492937036352120e-01 4.629955293973352370e-01 4.363532033428380030e-01 4.044952530441735528e-01 4.282276568451334753e-01 4.389664726336669487e-01 3.863102893794676529e-01 4.060074381505280883e-01 3.747816616555073588e-01 3.894133122019364235e-01
4.108216432865731127e-01 3.490143139708881681e-01 2.482231486063450621e-01 3.184830808861000007e-01 4.724507632830089454e-01 4.542218786776895945e-01 4.279935626242633018e-01 4.391766721208537061e-01 4.516444446524266465e-01 3.895235699092614023e-01 4.188895701390383808e-01 3.893793808685417357e-01 3.870676567973594384e-01
4.208416833667334433e-01 3.289908915920867205e-01 3.431507420834604138e-01 2.621705709187514000e-01 4.799013041547705027e-01 4.716447214863094817e-01 4.450160143608121177e-01 4.499284734861463964e-01 4.639600862300476969e-01 3.932039394466044224e-01 4.324134598373535754e-01 4.059760496921550610e-01 3.868589874431363484e-01
4.308617234468937740e-01 3.119069048562652657e-01 4.277112765353127677e-01 2.185390515610120543e-01 4.855824517469629620e-01 4.883563627293223686e-01 4.545689014865411659e-01 4.604571067040607590e-01 4.758474083091221996e-01 3.975451275028387133e-01 4.464752469941729029e-01 4.243291254366367005e-01 3.887898312663802258e-01
