1.000000e-08	2.659615e+00	1.406824e-06
3.030304e-02	2.646082e+00	2.485336e+00
6.060607e-02	2.605893e+00	2.956572e+00
9.090910e-02	2.540263e+00	2.753142e+00
1.212121e-01	2.451150e+00	2.444777e+00
1.515152e-01	2.341153e+00	2.216399e+00
1.818182e-01	2.213393e+00	2.080992e+00
2.121212e-01	2.071363e+00	1.995076e+00
2.424243e-01	1.918770e+00	1.913544e+00
2.727273e-01	1.759374e+00	1.808936e+00
3.030303e-01	1.596844e+00	1.672747e+00
3.333333e-01	1.434616e+00	1.509763e+00
3.636364e-01	1.275786e+00	1.331333e+00
3.939394e-01	1.123023e+00	1.150121e+00
4.242424e-01	9.785175e-01	9.769224e-01
4.545455e-01	8.439512e-01	8.192839e-01
4.848485e-01	7.205015e-01	6.813363e-01
5.151515e-01	6.088655e-01	5.643171e-01
5.454546e-01	5.093035e-01	4.673605e-01
5.757576e-01	4.216973e-01	3.883003e-01
6.060606e-01	3.456161e-01	3.243478e-01
6.363636e-01	2.803857e-01	2.725945e-01
6.666667e-01	2.251577e-01	2.303413e-01
6.969697e-01	1.789726e-01	1.952803e-01
7.272727e-01	1.408170e-01	1.655656e-01
7.575758e-01	1.096712e-01	1.398089e-01
7.878788e-01	8.454712e-02	1.170298e-01
8.181818e-01	6.451698e-02	9.658332e-02
8.484849e-01	4.873243e-02	7.808218e-02
8.787879e-01	3.643603e-02	6.132222e-02
9.090909e-01	2.696577e-02	4.621839e-02
9.393939e-01	1.975439e-02	3.275290e-02
9.696970e-01	1.432462e-02	2.093606e-02
1.000000e+00	1.028186e-02	1.077878e-02
1.030303e+00	7.305148e-03	2.275111e-03
1.060606e+00	5.137540e-03	-4.607318e-03
1.090909e+00	3.576435e-03	-9.930711e-03
1.121212e+00	2.464417e-03	-1.378624e-02
1.151515e+00	1.680920e-03	-1.629035e-02
1.181818e+00	1.134877e-03	-1.757938e-02
1.212121e+00	7.584368e-04	-1.780355e-02
1.242424e+00	5.017171e-04	-1.712081e-02
1.272727e+00	3.285241e-04	-1.569118e-02
1.303030e+00	2.129337e-04	-1.367170e-02
1.333333e+00	1.366125e-04	-1.121229e-02
1.363636e+00	8.675720e-05	-8.452489e-03
1.393939e+00	5.453677e-05	-5.519058e-03
1.424242e+00	3.393455e-05	-2.524419e-03
1.454545e+00	2.090084e-05	4.341907e-04
1.484848e+00	1.274249e-05	3.274946e-03
1.515152e+00	7.689773e-06	5.931160e-03
1.545455e+00	4.593479e-06	8.350608e-03
1.575758e+00	2.716057e-06	1.049456e-02
1.606061e+00	1.589662e-06	1.233661e-02
1.636364e+00	9.209577e-07	1.386137e-02
1.666667e+00	5.281332e-07	1.506306e-02
1.696970e+00	2.997892e-07	1.594422e-02
1.727273e+00	1.684448e-07	1.651426e-02
1.757576e+00	9.368453e-08	1.678822e-02
1.787879e+00	5.157594e-08	1.678561e-02
1.818182e+00	2.810575e-08	1.652921e-02
1.848485e+00	1.516045e-08	1.604417e-02
1.878788e+00	8.094650e-09	1.535712e-02
1.909091e+00	4.278119e-09	1.449538e-02
1.939394e+00	2.238084e-09	1.348632e-02
1.969697e+00	1.158961e-09	1.235685e-02
2.000000e+00	5.940600e-10	1.113296e-02
2.030303e+00	3.014120e-10	9.839363e-03
2.060606e+00	1.513769e-10	8.499227e-03
2.090909e+00	7.525366e-11	7.133989e-03
2.121212e+00	3.703092e-11	5.763221e-03
2.151515e+00	1.803725e-11	4.404547e-03
2.181818e+00	8.696508e-12	3.073623e-03
2.212121e+00	4.150385e-12	1.784140e-03
2.242424e+00	1.960653e-12	5.478714e-04
2.272727e+00	9.168156e-13	-6.252598e-04
2.303030e+00	4.243577e-13	-1.727091e-03
2.333333e+00	1.944246e-13	-2.751118e-03
2.363636e+00	8.817369e-14	-3.692375e-03
2.393939e+00	3.958182e-14	-4.547319e-03
2.424242e+00	1.758820e-14	-5.313698e-03
2.454545e+00	7.735990e-15	-5.990427e-03
2.484848e+00	3.368056e-15	-6.577463e-03
2.515152e+00	1.451482e-15	-7.075681e-03
2.545455e+00	6.191739e-16	-7.486757e-03
2.575758e+00	2.614464e-16	-7.813055e-03
2.606061e+00	1.092752e-16	-8.057519e-03
2.636364e+00	4.520946e-17	-8.223578e-03
2.666667e+00	1.851424e-17	-8.315053e-03
2.696970e+00	7.505013e-18	-8.336069e-03
2.727273e+00	3.011382e-18	-8.290984e-03
2.757576e+00	1.196049e-18	-8.184316e-03
2.787879e+00	4.702201e-19	-8.020682e-03
2.818182e+00	1.829878e-19	-7.804744e-03
2.848485e+00	7.048750e-20	-7.541159e-03
2.878788e+00	2.687639e-20	-7.234539e-03
2.909091e+00	1.014375e-20	-6.889411e-03
2.939394e+00	3.789615e-21	-6.510191e-03
2.969697e+00	1.401395e-21	-6.101155e-03
3.000000e+00	5.129732e-22	-5.666420e-03
