# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss sample_0_total_loss sample_0_main_loss sample_0_smoothness_loss sample_0_l2_loss sample_1_total_loss sample_1_main_loss sample_1_smoothness_loss sample_1_l2_loss sample_2_total_loss sample_2_main_loss sample_2_smoothness_loss sample_2_l2_loss sample_3_total_loss sample_3_main_loss sample_3_smoothness_loss sample_3_l2_loss sample_4_total_loss sample_4_main_loss sample_4_smoothness_loss sample_4_l2_loss sample_5_total_loss sample_5_main_loss sample_5_smoothness_loss sample_5_l2_loss sample_6_total_loss sample_6_main_loss sample_6_smoothness_loss sample_6_l2_loss sample_7_total_loss sample_7_main_loss sample_7_smoothness_loss sample_7_l2_loss sample_8_total_loss sample_8_main_loss sample_8_smoothness_loss sample_8_l2_loss sample_9_total_loss sample_9_main_loss sample_9_smoothness_loss sample_9_l2_loss
1.074830627441406250e+02 6.529644451802596450e-06 6.247972805795143358e-07 1.058225250244140625e+02 1.108296692109433934e-05 6.154086236165312584e-07 1.067363739013671875e+02 1.708830495772417635e-05 6.404410441973595880e-07 1.063027114868164062e+02 2.227005825261585414e-05 6.297842105595918838e-07 1.056847076416015625e+02 1.852626519394107163e-05 6.392713771674607415e-07 1.056523056030273438e+02 7.693788575124926865e-06 6.242834729164314922e-07 1.080238189697265625e+02 2.064557702396996319e-05 6.295857701843488030e-07 1.072670745849609375e+02 1.891230385808739811e-05 6.302472002062131651e-07 1.072072982788085938e+02 1.535215051262639463e-05 6.383082222782832105e-07 1.076972808837890625e+02 1.187401630886597559e-05 6.146048576738394331e-07 1.056196441650390625e+02 6.061645763111300766e-06 6.161952796901459806e-07
1.074100646972656250e+02 6.483855031547136605e-06 6.247779538171016611e-07 1.057387084960937500e+02 1.110773519030772150e-05 6.154120910650817677e-07 1.066247634887695312e+02 1.706936018308624625e-05 6.404493433365132660e-07 1.061739578247070312e+02 2.222780858573969454e-05 6.297812547018111218e-07 1.055619049072265625e+02 1.855121263361070305e-05 6.392854743353382219e-07 1.055650024414062500e+02 7.695857675571460277e-06 6.243082566470548045e-07 1.079118804931640625e+02 2.055315053439699113e-05 6.295599632721859962e-07 1.071427078247070312e+02 1.882780634332448244e-05 6.302452106865530368e-07 1.071002044677734375e+02 1.530691770312841982e-05 6.382981041497259866e-07 1.075969924926757812e+02 1.180995059257838875e-05 6.145665452095272485e-07 1.055429992675781250e+02 6.064563422114588320e-06 6.162159138511924539e-07
1.073373489379882812e+02 6.439125172619242221e-06 6.247605028875113931e-07 1.056548309326171875e+02 1.113394228013930842e-05 6.154178890938055702e-07 1.065131454467773438e+02 1.705157046671956778e-05 6.404595751519082114e-07 1.060455627441406250e+02 2.218673398601822555e-05 6.297800609900150448e-07 1.054389572143554688e+02 1.858015275502111763e-05 6.393031526386039332e-07 1.054776000976562500e+02 7.698587069171480834e-06 6.243348593670816626e-07 1.078005828857421875e+02 2.046684130618814379e-05 6.295379080256680027e-07 1.070186920166015625e+02 1.874387999123428017e-05 6.302449264694587328e-07 1.069932785034179688e+02 1.526316373201552778e-05 6.382906008184363600e-07 1.074972229003906250e+02 1.174749831989174709e-05 6.145302791082940530e-07 1.054662628173828125e+02 6.075153578422032297e-06 6.162415502330986783e-07
1.072649612426757812e+02 6.396235221473034471e-06 6.247450414775812533e-07 1.055708923339843750e+02 1.116209023166447878e-05 6.154260177027026657e-07 1.064016113281250000e+02 1.703548696241341531e-05 6.404717396435444243e-07 1.059175262451171875e+02 2.214855885540600866e-05 6.297810273281356785e-07 1.053157577514648438e+02 1.861087912402581424e-05 6.393232183654617984e-07 1.053901519775390625e+02 7.702127732045482844e-06 6.243633379199309275e-07 1.076899032592773438e+02 2.038392267422750592e-05 6.295188086369307712e-07 1.068949813842773438e+02 1.866167440311983228e-05 6.302466317720245570e-07 1.068864746093750000e+02 1.522519869467942044e-05 6.382856554409954697e-07 1.073979034423828125e+02 1.168873495771549642e-05 6.144968551780038979e-07 1.053893127441406250e+02 6.091147952247411013e-06 6.162701993162045255e-07
1.071928176879882812e+02 6.355978712235810235e-06 6.247316264307301026e-07 1.054868469238281250e+02 1.119327953347237781e-05 6.154368747957050800e-07 1.062900695800781250e+02 1.702187910268548876e-05 6.404860073416784871e-07 1.057897872924804688e+02 2.211483479186426848e-05 6.297843242464296054e-07 1.051923675537109375e+02 1.864334808487910777e-05 6.393459557330061216e-07 1.053025588989257812e+02 7.706670658080838621e-06 6.243938628358591814e-07 1.075798339843750000e+02 2.030525320151355118e-05 6.295030061664874665e-07 1.067716064453125000e+02 1.858168616308830678e-05 6.302506676547636744e-07 1.067797546386718750e+02 1.519451325293630362e-05 6.382830974871467333e-07 1.072990264892578125e+02 1.163432807516073808e-05 6.144665007923322264e-07 1.053121261596679688e+02 6.111399216024437919e-06 6.163016337268345524e-07
1.071209259033203125e+02 6.318568011920433491e-06 6.247204851206333842e-07 1.054026870727539062e+02 1.122785306506557390e-05 6.154506877464882564e-07 1.061785583496093750e+02 1.701178189250640571e-05 6.405025487765669823e-07 1.056623611450195312e+02 2.208628393418621272e-05 6.297901791185722686e-07 1.050687179565429688e+02 1.867799255705904216e-05 6.393710805241425987e-07 1.052148818969726562e+02 7.712473234278149903e-06 6.244262635846098419e-07 1.074703140258789062e+02 2.023152046604081988e-05 6.294904437709192280e-07 1.066484756469726562e+02 1.850461376307066530e-05 6.302569772742572241e-07 1.066729965209960938e+02 1.516961674496997148e-05 6.382829269568901509e-07 1.072005004882812500e+02 1.158358099928591400e-05 6.144389885776035953e-07 1.052346572875976562e+02 6.135996045486535877e-06 6.163363650557585061e-07
1.070492248535156250e+02 6.284210940066259354e-06 6.247118449209665414e-07 1.053183593750000000e+02 1.126545157603686675e-05 6.154672860247956123e-07 1.060670242309570312e+02 1.700652501313015819e-05 6.405217050087230746e-07 1.055351867675781250e+02 2.206275166827253997e-05 6.297986487879825290e-07 1.049447479248046875e+02 1.871522545116022229e-05 6.393989337993843947e-07 1.051270980834960938e+02 7.719843779341317713e-06 6.244607675398583524e-07 1.073612823486328125e+02 2.016335383814293891e-05 6.294810646068071947e-07 1.065256500244140625e+02 1.843100289988797158e-05 6.302657311607617885e-07 1.065662231445312500e+02 1.514951145509257913e-05 6.382855417541577481e-07 1.071023254394531250e+02 1.153621269622817636e-05 6.144141480035614222e-07 1.051568145751953125e+02 6.165059858176391572e-06 6.163742796161386650e-07
1.069777069091796875e+02 6.253151696000713855e-06 6.247058195185672957e-07 1.052337951660156250e+02 1.130584587372140959e-05 6.154866127872082870e-07 1.059554443359375000e+02 1.700738721410743892e-05 6.405435328815656248e-07 1.054082412719726562e+02 2.204391603299882263e-05 6.298098469414981082e-07 1.048205413818359375e+02 1.875517045846208930e-05 6.394295724021503702e-07 1.050391387939453125e+02 7.729080607532523572e-06 6.244974315450235736e-07 1.072527313232421875e+02 2.010102434724103659e-05 6.294745844570570625e-07 1.064030456542968750e+02 1.836119554354809225e-05 6.302771566879528109e-07 1.064594116210937500e+02 1.513395000074524432e-05 6.382909987223683856e-07 1.070044860839843750e+02 1.149222498497692868e-05 6.143918085399491247e-07 1.050786056518554688e+02 6.198467872309265658e-06 6.164152068777184468e-07
1.069062805175781250e+02 6.225464858289342374e-06 6.247024657568545081e-07 1.051490554809570312e+02 1.134907142841257155e-05 6.155085543468885589e-07 1.058437347412109375e+02 1.701517248875461519e-05 6.405681460819323547e-07 1.052814636230468750e+02 2.202955874963663518e-05 6.298236030488624237e-07 1.046959609985351562e+02 1.879784758784808218e-05 6.394628258021839429e-07 1.049510498046875000e+02 7.740349246887490153e-06 6.245364261303620879e-07 1.071445617675781250e+02 2.004447378567419946e-05 6.294708327914122492e-07 1.062806549072265625e+02 1.829536631703376770e-05 6.302911970124114305e-07 1.063524627685546875e+02 1.512302333139814436e-05 6.382993547049409244e-07 1.069068908691406250e+02 1.145171700045466423e-05 6.143721975604421459e-07 1.049999389648437500e+02 6.235961336642503738e-06 6.164588626234035473e-07
1.068349304199218750e+02 6.201095857250038534e-06 6.247018404792470392e-07 1.050639801025390625e+02 1.139531013905070722e-05 6.155331107038364280e-07 1.057318725585937500e+02 1.702991903584916145e-05 6.405957151400798466e-07 1.051548309326171875e+02 2.201963070547208190e-05 6.298401444837509189e-07 1.045710067749023438e+02 1.884329321910627186e-05 6.394990350599982776e-07 1.048627319335937500e+02 7.753683348710183054e-06 6.245778081392927561e-07 1.070367431640625000e+02 1.999348023673519492e-05 6.294698096098727547e-07 1.061584167480468750e+02 1.823359161789994687e-05 6.303081363512319513e-07 1.062453994750976562e+02 1.511688151367707178e-05 6.383107233887130860e-07 1.068094940185546875e+02 1.141485427069710568e-05 6.143552582216216251e-07 1.049207916259765625e+02 6.277218744799029082e-06 6.165050194795185234e-07
