# Omega RhoOverOmega_mean RhoOverOmega_error RhoOverOmega_sample_0 RhoOverOmega_sample_1 RhoOverOmega_sample_2 RhoOverOmega_sample_3 RhoOverOmega_sample_4 RhoOverOmega_sample_5 RhoOverOmega_sample_6 RhoOverOmega_sample_7 RhoOverOmega_sample_8 RhoOverOmega_sample_9
0.000000000000000000e+00 9.940990060567855835e-02 2.768621966242790222e-02 1.020409762859344482e-01 9.051880240440368652e-02 1.038761213421821594e-01 9.373357892036437988e-02 1.139942780137062073e-01 9.680289030075073242e-02 9.898616373538970947e-02 1.124032810330390930e-01 9.961476176977157593e-02 8.387378603219985962e-02
8.016032064128256196e-02 1.299425959587097168e-01 1.440058089792728424e-02 1.292887330055236816e-01 1.293792724609375000e-01 1.270013153553009033e-01 1.311398297548294067e-01 1.199707165360450745e-01 1.298900246620178223e-01 1.295561194419860840e-01 1.301553100347518921e-01 1.322824209928512573e-01 1.395265609025955200e-01
1.603206412825651239e-01 1.625361740589141846e-01 4.179059714078903198e-02 1.598716676235198975e-01 1.728070974349975586e-01 1.546629071235656738e-01 1.694454997777938843e-01 1.385284066200256348e-01 1.657972037792205811e-01 1.629864722490310669e-01 1.468426436185836792e-01 1.627641469240188599e-01 1.888816952705383301e-01
2.404809619238476859e-01 1.709129363298416138e-01 2.925945632159709930e-02 1.709783822298049927e-01 1.844791918992996216e-01 1.671562939882278442e-01 1.762364804744720459e-01 1.673754155635833740e-01 1.758977174758911133e-01 1.731083691120147705e-01 1.491717547178268433e-01 1.646595299243927002e-01 1.797086894512176514e-01
3.206412825651302478e-01 1.626520156860351562e-01 4.092702269554138184e-02 1.670279353857040405e-01 1.693161875009536743e-01 1.660017222166061401e-01 1.630425602197647095e-01 1.898819804191589355e-01 1.670568883419036865e-01 1.659207940101623535e-01 1.475603431463241577e-01 1.543702185153961182e-01 1.395102888345718384e-01
4.008016032064127820e-01 1.530288457870483398e-01 5.912068858742713928e-02 1.592476665973663330e-01 1.478895545005798340e-01 1.602397412061691284e-01 1.496577411890029907e-01 1.933235675096511841e-01 1.547497361898422241e-01 1.551827788352966309e-01 1.528327465057373047e-01 1.502341628074645996e-01 1.113791316747665405e-01
4.809619238476953718e-01 1.490086317062377930e-01 5.151058360934257507e-02 1.529964208602905273e-01 1.345418244600296021e-01 1.557613015174865723e-01 1.441730260848999023e-01 1.769968122243881226e-01 1.465608775615692139e-01 1.476311087608337402e-01 1.654192060232162476e-01 1.551506966352462769e-01 1.134245693683624268e-01
5.611222444889779615e-01 1.499043852090835571e-01 3.920822218060493469e-02 1.488345712423324585e-01 1.327950060367584229e-01 1.537864208221435547e-01 1.451229006052017212e-01 1.489087641239166260e-01 1.428206413984298706e-01 1.437743455171585083e-01 1.791586279869079590e-01 1.626601815223693848e-01 1.398401856422424316e-01
6.412825651302604957e-01 1.522210091352462769e-01 5.871539190411567688e-02 1.455805003643035889e-01 1.392949223518371582e-01 1.529599279165267944e-01 1.480388641357421875e-01 1.194963827729225159e-01 1.411641538143157959e-01 1.418949812650680542e-01 1.872606277465820312e-01 1.661392301321029663e-01 1.746690720319747925e-01
7.214428857715430299e-01 1.528511345386505127e-01 8.510349690914154053e-02 1.423106342554092407e-01 1.484169512987136841e-01 1.513091623783111572e-01 1.493688523769378662e-01 9.708856046199798584e-02 1.395965367555618286e-01 1.404302269220352173e-01 1.857647299766540527e-01 1.626686006784439087e-01 2.027784436941146851e-01
8.016032064128255641e-01 1.501996815204620361e-01 9.662102162837982178e-02 1.387152373790740967e-01 1.553435921669006348e-01 1.473932117223739624e-01 1.474359929561614990e-01 8.604427427053451538e-02 1.372162848711013794e-01 1.384882181882858276e-01 1.740873754024505615e-01 1.529091894626617432e-01 2.148592323064804077e-01
8.817635270541082093e-01 1.440361142158508301e-01 8.902826160192489624e-02 1.348100751638412476e-01 1.571988165378570557e-01 1.406362056732177734e-01 1.420678347349166870e-01 8.679214864969253540e-02 1.339681595563888550e-01 1.357275545597076416e-01 1.541991829872131348e-01 1.394461542367935181e-01 2.080398797988891602e-01
9.619238476953907435e-01 1.350203305482864380e-01 6.646502763032913208e-02 1.306869536638259888e-01 1.531255245208740234e-01 1.311859488487243652e-01 1.338946372270584106e-01 9.690247476100921631e-02 1.301508992910385132e-01 1.320649236440658569e-01 1.293799877166748047e-01 1.251749396324157715e-01 1.845152229070663452e-01
1.042084168336673278e+00 1.241929009556770325e-01 4.216785356402397156e-02 1.263033598661422729e-01 1.437435597181320190e-01 1.197618693113327026e-01 1.238541752099990845e-01 1.123932674527168274e-01 1.260628104209899902e-01 1.274494677782058716e-01 1.031815335154533386e-01 1.123202443122863770e-01 1.494810283184051514e-01
1.122244488977955923e+00 1.125968620181083679e-01 4.612369462847709656e-02 1.215289831161499023e-01 1.304762214422225952e-01 1.073106303811073303e-01 1.129029914736747742e-01 1.288843005895614624e-01 1.218011826276779175e-01 1.218732893466949463e-01 7.871758937835693359e-02 1.021471694111824036e-01 1.092632785439491272e-01
1.202404809619238346e+00 1.011233255267143250e-01 7.390865683555603027e-02 1.161404401063919067e-01 1.150474622845649719e-01 9.483644366264343262e-02 1.018392071127891541e-01 1.424622088670730591e-01 1.172622516751289368e-01 1.153497546911239624e-01 5.828340351581573486e-02 9.495714306831359863e-02 6.999514997005462646e-02
1.282565130260520991e+00 9.041043370962142944e-02 9.970924258232116699e-02 1.099427640438079834e-01 9.905505925416946411e-02 8.319448679685592651e-02 9.124975651502609253e-02 1.501876115798950195e-01 1.121723055839538574e-01 1.079143211245536804e-01 4.326727241277694702e-02 9.035164862871170044e-02 3.677197173237800598e-02
1.362725450901803637e+00 8.085828274488449097e-02 1.146513372659683228e-01 1.027581766247749329e-01 8.379130810499191284e-02 7.303985208272933960e-02 8.153949677944183350e-02 1.503089070320129395e-01 1.062169000506401062e-01 9.968974441289901733e-02 3.415170684456825256e-02 8.746793121099472046e-02 1.321799308061599731e-02
1.442885771543086060e+00 7.262951135635375977e-02 1.157986670732498169e-01 9.455036371946334839e-02 7.014816999435424805e-02 6.475394964218139648e-02 7.294259965419769287e-02 1.423279047012329102e-01 9.911384433507919312e-02 9.082847088575363159e-02 3.069046325981616974e-02 8.530498296022415161e-02 1.373906154185533524e-03
1.523046092184368705e+00 6.570374965667724609e-02 1.038515865802764893e-01 8.534784615039825439e-02 5.861840024590492249e-02 5.846805498003959656e-02 6.552611291408538818e-02 1.268480122089385986e-01 9.068737924098968506e-02 8.154442161321640015e-02 3.211582079529762268e-02 8.290873467922210693e-02 2.790217986330389977e-04
1.603206412825651128e+00 5.992272123694419861e-02 8.645971119403839111e-02 7.528611272573471069e-02 4.934417083859443665e-02 5.409333854913711548e-02 5.925053730607032776e-02 1.054010763764381409e-01 8.091484755277633667e-02 7.204325497150421143e-02 3.726996108889579773e-02 7.950623333454132080e-02 2.957986434921622276e-04
