#w	rho	error	jackknife1	jackknife2	jackknife3	jackknife4	jackknife5	jackknife6	jackknife7	jackknife8	jackknife9	jackknife10
0.310310	1.085410e-02	1.795966e-04	1.087272e-02	1.083764e-02	1.090187e-02	1.075557e-02	1.081583e-02	1.094043e-02	1.080553e-02	1.078596e-02	1.089781e-02	1.092760e-02
0.320320	1.076137e-02	1.886104e-04	1.077989e-02	1.074225e-02	1.081240e-02	1.065815e-02	1.072016e-02	1.085423e-02	1.071370e-02	1.068939e-02	1.080610e-02	1.083743e-02
0.330330	1.068158e-02	1.973078e-04	1.070005e-02	1.065995e-02	1.073582e-02	1.057374e-02	1.063749e-02	1.078037e-02	1.063490e-02	1.060595e-02	1.072720e-02	1.076027e-02
0.340340	1.061497e-02	2.056563e-04	1.063346e-02	1.059102e-02	1.067241e-02	1.050260e-02	1.056808e-02	1.071911e-02	1.056936e-02	1.053590e-02	1.066135e-02	1.069638e-02
0.350350	1.056180e-02	2.136321e-04	1.058037e-02	1.053569e-02	1.062239e-02	1.044499e-02	1.051218e-02	1.067070e-02	1.051735e-02	1.047950e-02	1.060880e-02	1.064599e-02
0.360360	1.052231e-02	2.212181e-04	1.054101e-02	1.049422e-02	1.058603e-02	1.040116e-02	1.047003e-02	1.063538e-02	1.047911e-02	1.043698e-02	1.056980e-02	1.060936e-02
0.370370	1.049674e-02	2.284026e-04	1.051564e-02	1.046685e-02	1.056355e-02	1.037135e-02	1.044187e-02	1.061341e-02	1.045487e-02	1.040860e-02	1.054459e-02	1.058671e-02
0.380380	1.048534e-02	2.351783e-04	1.050449e-02	1.045381e-02	1.055518e-02	1.035580e-02	1.042795e-02	1.060500e-02	1.044487e-02	1.039459e-02	1.053339e-02	1.057829e-02
0.390390	1.048832e-02	2.415416e-04	1.050779e-02	1.045533e-02	1.056116e-02	1.035473e-02	1.042849e-02	1.061040e-02	1.044933e-02	1.039518e-02	1.053645e-02	1.058430e-02
0.400400	1.050590e-02	2.474920e-04	1.052575e-02	1.047163e-02	1.058169e-02	1.036839e-02	1.044371e-02	1.062983e-02	1.046848e-02	1.041059e-02	1.055397e-02	1.060497e-02
0.410410	1.053831e-02	2.530318e-04	1.055861e-02	1.050292e-02	1.061700e-02	1.039697e-02	1.047382e-02	1.066349e-02	1.050252e-02	1.044105e-02	1.058618e-02	1.064051e-02
0.420420	1.058574e-02	2.581659e-04	1.060655e-02	1.054941e-02	1.066728e-02	1.044070e-02	1.051904e-02	1.071161e-02	1.055167e-02	1.048675e-02	1.063327e-02	1.069113e-02
0.430430	1.064841e-02	2.629012e-04	1.066980e-02	1.061131e-02	1.073274e-02	1.049978e-02	1.057957e-02	1.077440e-02	1.061612e-02	1.054792e-02	1.069546e-02	1.075701e-02
0.440440	1.072650e-02	2.672469e-04	1.074853e-02	1.068880e-02	1.081357e-02	1.057441e-02	1.065561e-02	1.085204e-02	1.069607e-02	1.062473e-02	1.077293e-02	1.083836e-02
0.450450	1.082021e-02	2.712142e-04	1.084295e-02	1.078207e-02	1.090995e-02	1.066478e-02	1.074733e-02	1.094473e-02	1.079169e-02	1.071739e-02	1.086588e-02	1.093535e-02
0.460460	1.092971e-02	2.748160e-04	1.095323e-02	1.089131e-02	1.102207e-02	1.077107e-02	1.085492e-02	1.105266e-02	1.090318e-02	1.082607e-02	1.097448e-02	1.104816e-02
0.470470	1.105518e-02	2.780674e-04	1.107954e-02	1.101668e-02	1.115008e-02	1.089346e-02	1.097856e-02	1.117601e-02	1.103070e-02	1.095094e-02	1.109891e-02	1.117696e-02
0.480480	1.119679e-02	2.809851e-04	1.122205e-02	1.115835e-02	1.129416e-02	1.103212e-02	1.111841e-02	1.131495e-02	1.117440e-02	1.109218e-02	1.123933e-02	1.132191e-02
0.490490	1.135468e-02	2.835877e-04	1.138092e-02	1.131647e-02	1.145446e-02	1.118721e-02	1.127462e-02	1.146963e-02	1.133446e-02	1.124994e-02	1.139589e-02	1.148316e-02
0.500501	1.152901e-02	2.858957e-04	1.155630e-02	1.149119e-02	1.163112e-02	1.135887e-02	1.144736e-02	1.164022e-02	1.151101e-02	1.142438e-02	1.156876e-02	1.166085e-02
0.510511	1.171992e-02	2.879313e-04	1.174833e-02	1.168265e-02	1.182429e-02	1.154727e-02	1.163674e-02	1.182688e-02	1.170419e-02	1.161562e-02	1.175807e-02	1.185513e-02
0.520521	1.192754e-02	2.897185e-04	1.195714e-02	1.189098e-02	1.203409e-02	1.175252e-02	1.184293e-02	1.202973e-02	1.191414e-02	1.182382e-02	1.196396e-02	1.206611e-02
0.530531	1.215201e-02	2.912833e-04	1.218287e-02	1.211631e-02	1.226065e-02	1.197477e-02	1.206602e-02	1.224891e-02	1.214097e-02	1.204909e-02	1.218655e-02	1.229392e-02
0.540541	1.239342e-02	2.926531e-04	1.242561e-02	1.235874e-02	1.250408e-02	1.221412e-02	1.230615e-02	1.248455e-02	1.238481e-02	1.229154e-02	1.242595e-02	1.253867e-02
0.550551	1.265190e-02	2.938574e-04	1.268549e-02	1.261839e-02	1.276448e-02	1.247069e-02	1.256342e-02	1.273676e-02	1.264575e-02	1.255130e-02	1.268229e-02	1.280047e-02
0.560561	1.292755e-02	2.949272e-04	1.296260e-02	1.289535e-02	1.304196e-02	1.274459e-02	1.283792e-02	1.300566e-02	1.292389e-02	1.282845e-02	1.295565e-02	1.307940e-02
0.570571	1.322045e-02	2.958951e-04	1.325704e-02	1.318970e-02	1.333660e-02	1.303590e-02	1.312976e-02	1.329135e-02	1.321931e-02	1.312309e-02	1.324613e-02	1.337555e-02
0.580581	1.353068e-02	2.967954e-04	1.356888e-02	1.350154e-02	1.364849e-02	1.334471e-02	1.343900e-02	1.359392e-02	1.353211e-02	1.343530e-02	1.355382e-02	1.368900e-02
0.590591	1.385832e-02	2.976636e-04	1.389820e-02	1.383091e-02	1.397768e-02	1.367110e-02	1.376573e-02	1.391344e-02	1.386234e-02	1.376515e-02	1.387878e-02	1.401982e-02
0.600601	1.420343e-02	2.985364e-04	1.424506e-02	1.417790e-02	1.432424e-02	1.401512e-02	1.411001e-02	1.425001e-02	1.421007e-02	1.411270e-02	1.422109e-02	1.436806e-02
0.610611	1.456606e-02	2.994516e-04	1.460952e-02	1.454254e-02	1.468823e-02	1.437685e-02	1.447188e-02	1.460368e-02	1.457535e-02	1.447801e-02	1.458079e-02	1.473376e-02
