# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss sample_0_total_loss sample_0_main_loss sample_0_smoothness_loss sample_0_l2_loss sample_1_total_loss sample_1_main_loss sample_1_smoothness_loss sample_1_l2_loss sample_2_total_loss sample_2_main_loss sample_2_smoothness_loss sample_2_l2_loss sample_3_total_loss sample_3_main_loss sample_3_smoothness_loss sample_3_l2_loss sample_4_total_loss sample_4_main_loss sample_4_smoothness_loss sample_4_l2_loss sample_5_total_loss sample_5_main_loss sample_5_smoothness_loss sample_5_l2_loss sample_6_total_loss sample_6_main_loss sample_6_smoothness_loss sample_6_l2_loss sample_7_total_loss sample_7_main_loss sample_7_smoothness_loss sample_7_l2_loss sample_8_total_loss sample_8_main_loss sample_8_smoothness_loss sample_8_l2_loss
1.599106750488281250e+02 1.645490974187850952e-01 4.481182694435119629e-01 1.592980041503906250e+02 0.000000000000000000e+00
1.599107513427734375e+02 1.646244823932647705e-01 4.481238424777984619e-01 1.592980041503906250e+02 0.000000000000000000e+00
1.599103851318359375e+02 1.645058393478393555e-01 4.478767812252044678e-01 1.592980041503906250e+02 0.000000000000000000e+00
1.599107818603515625e+02 1.645949780941009521e-01 4.481784403324127197e-01 1.592980041503906250e+02 0.000000000000000000e+00
1.599104766845703125e+02 1.645360291004180908e-01 4.479343891143798828e-01 1.592980041503906250e+02 0.000000000000000000e+00
1.599103698730468750e+02 1.645305007696151733e-01 4.478300511837005615e-01 1.592980041503906250e+02 0.000000000000000000e+00
1.599107208251953125e+02 1.645778119564056396e-01 4.481456875801086426e-01 1.592980041503906250e+02 0.000000000000000000e+00
1.599103698730468750e+02 1.645153760910034180e-01 4.478497505187988281e-01 1.592980041503906250e+02 0.000000000000000000e+00
1.599106750488281250e+02 1.645697951316833496e-01 4.481005370616912842e-01 1.592980041503906250e+02 0.000000000000000000e+00
1.599105224609375000e+02 1.645121425390243530e-01 4.480095505714416504e-01 1.592980041503906250e+02 0.000000000000000000e+00
