# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss sample_0_total_loss sample_0_main_loss sample_0_smoothness_loss sample_0_l2_loss sample_1_total_loss sample_1_main_loss sample_1_smoothness_loss sample_1_l2_loss sample_2_total_loss sample_2_main_loss sample_2_smoothness_loss sample_2_l2_loss sample_3_total_loss sample_3_main_loss sample_3_smoothness_loss sample_3_l2_loss sample_4_total_loss sample_4_main_loss sample_4_smoothness_loss sample_4_l2_loss sample_5_total_loss sample_5_main_loss sample_5_smoothness_loss sample_5_l2_loss sample_6_total_loss sample_6_main_loss sample_6_smoothness_loss sample_6_l2_loss sample_7_total_loss sample_7_main_loss sample_7_smoothness_loss sample_7_l2_loss sample_8_total_loss sample_8_main_loss sample_8_smoothness_loss sample_8_l2_loss sample_9_total_loss sample_9_main_loss sample_9_smoothness_loss sample_9_l2_loss
1.097409408000000000e+09 1.097408896000000000e+09 4.583159484863281250e+02 2.732514869421720505e-03
1.097445504000000000e+09 1.097444992000000000e+09 4.583068237304687500e+02 2.732514869421720505e-03
1.097401856000000000e+09 1.097401344000000000e+09 4.583186035156250000e+02 2.732514869421720505e-03
1.097393792000000000e+09 1.097393280000000000e+09 4.583172302246093750e+02 2.732514869421720505e-03
1.097428736000000000e+09 1.097428224000000000e+09 4.583101806640625000e+02 2.732514869421720505e-03
1.097420928000000000e+09 1.097420416000000000e+09 4.583142700195312500e+02 2.732514869421720505e-03
1.097397632000000000e+09 1.097397120000000000e+09 4.583199462890625000e+02 2.732514869421720505e-03
1.097353600000000000e+09 1.097353088000000000e+09 4.583305969238281250e+02 2.732514869421720505e-03
1.097362688000000000e+09 1.097362176000000000e+09 4.583277587890625000e+02 2.732514869421720505e-03
1.097442176000000000e+09 1.097441664000000000e+09 4.583088378906250000e+02 2.732514869421720505e-03
1.097449216000000000e+09 1.097448704000000000e+09 4.583050842285156250e+02 2.732514869421720505e-03
