# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss sample_0_total_loss sample_0_main_loss sample_0_smoothness_loss sample_0_l2_loss sample_1_total_loss sample_1_main_loss sample_1_smoothness_loss sample_1_l2_loss sample_2_total_loss sample_2_main_loss sample_2_smoothness_loss sample_2_l2_loss sample_3_total_loss sample_3_main_loss sample_3_smoothness_loss sample_3_l2_loss sample_4_total_loss sample_4_main_loss sample_4_smoothness_loss sample_4_l2_loss sample_5_total_loss sample_5_main_loss sample_5_smoothness_loss sample_5_l2_loss sample_6_total_loss sample_6_main_loss sample_6_smoothness_loss sample_6_l2_loss sample_7_total_loss sample_7_main_loss sample_7_smoothness_loss sample_7_l2_loss sample_8_total_loss sample_8_main_loss sample_8_smoothness_loss sample_8_l2_loss
8.368086242675781250e+01 2.071128273010253906e+01 6.656626611948013306e-02 6.290301513671875000e+01 0.000000000000000000e+00
8.368195343017578125e+01 2.071237373352050781e+01 6.656543165445327759e-02 6.290301513671875000e+01 0.000000000000000000e+00
8.368103027343750000e+01 2.071145248413085938e+01 6.656619906425476074e-02 6.290301513671875000e+01 0.000000000000000000e+00
8.368389892578125000e+01 2.071432113647460938e+01 6.656336784362792969e-02 6.290301513671875000e+01 0.000000000000000000e+00
8.368876647949218750e+01 2.071919631958007812e+01 6.655882298946380615e-02 6.290301513671875000e+01 0.000000000000000000e+00
8.367375183105468750e+01 2.070416069030761719e+01 6.657343357801437378e-02 6.290301513671875000e+01 0.000000000000000000e+00
8.368466949462890625e+01 2.071509170532226562e+01 6.656293570995330811e-02 6.290301513671875000e+01 0.000000000000000000e+00
8.367520904541015625e+01 2.070562362670898438e+01 6.657192111015319824e-02 6.290301513671875000e+01 0.000000000000000000e+00
8.368151092529296875e+01 2.071192741394042969e+01 6.656587123870849609e-02 6.290301513671875000e+01 0.000000000000000000e+00
8.368576049804687500e+01 2.071618652343750000e+01 6.656169146299362183e-02 6.290301513671875000e+01 0.000000000000000000e+00
