# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss
2.104836736000000000e+09 2.151796221733093262e-02 3.662117943167686462e-02 2.104836736000000000e+09
2.097881728000000000e+09 2.228570356965065002e-02 3.637832775712013245e-02 2.097881728000000000e+09
2.090875136000000000e+09 2.307488210499286652e-02 3.614192456007003784e-02 2.090875136000000000e+09
2.083909120000000000e+09 2.387676201760768890e-02 3.591156750917434692e-02 2.083909120000000000e+09
2.076954624000000000e+09 2.469580434262752533e-02 3.568797186017036438e-02 2.076954624000000000e+09
2.070017280000000000e+09 2.553362771868705750e-02 3.547035902738571167e-02 2.070017280000000000e+09
2.063009408000000000e+09 2.639813721179962158e-02 3.525818511843681335e-02 2.063009408000000000e+09
2.056007296000000000e+09 2.728242799639701843e-02 3.505383431911468506e-02 2.056007296000000000e+09
2.049020288000000000e+09 2.818731591105461121e-02 3.485593199729919434e-02 2.049020288000000000e+09
2.042094976000000000e+09 2.910411730408668518e-02 3.466459736227989197e-02 2.042094976000000000e+09
2.035097600000000000e+09 3.005167283117771149e-02 3.447821736335754395e-02 2.035097600000000000e+09
2.028195072000000000e+09 3.101041540503501892e-02 3.429755941033363342e-02 2.028195072000000000e+09
2.021056256000000000e+09 3.202459216117858887e-02 3.412305563688278198e-02 2.021056256000000000e+09
2.014187008000000000e+09 3.302714601159095764e-02 3.395473584532737732e-02 2.014187008000000000e+09
2.007410688000000000e+09 3.404083475470542908e-02 3.379204869270324707e-02 2.007410688000000000e+09
2.000634880000000000e+09 3.508337587118148804e-02 3.363463282585144043e-02 2.000634880000000000e+09
1.993864320000000000e+09 3.615419566631317139e-02 3.348197788000106812e-02 1.993864320000000000e+09
1.987246720000000000e+09 3.722763806581497192e-02 3.333434835076332092e-02 1.987246720000000000e+09
1.980702208000000000e+09 3.831900656223297119e-02 3.319167718291282654e-02 1.980702208000000000e+09
1.974169472000000000e+09 3.943986818194389343e-02 3.305397555232048035e-02 1.974169472000000000e+09
1.967685760000000000e+09 4.057950899004936218e-02 3.292176127433776855e-02 1.967685760000000000e+09
1.961315968000000000e+09 4.173524677753448486e-02 3.279409930109977722e-02 1.961315968000000000e+09
1.955015936000000000e+09 4.290608316659927368e-02 3.267195820808410645e-02 1.955015936000000000e+09
1.948713216000000000e+09 4.411164298653602600e-02 3.255424275994300842e-02 1.948713216000000000e+09
1.942587520000000000e+09 4.531834274530410767e-02 3.244101628661155701e-02 1.942587520000000000e+09
1.936491648000000000e+09 4.654909670352935791e-02 3.233349695801734924e-02 1.936491648000000000e+09
1.930481408000000000e+09 4.779572039842605591e-02 3.223047405481338501e-02 1.930481408000000000e+09
1.924562944000000000e+09 4.906195402145385742e-02 3.213166818022727966e-02 1.924562944000000000e+09
1.918718848000000000e+09 5.034666508436203003e-02 3.203668445348739624e-02 1.918718848000000000e+09
1.913024640000000000e+09 5.163972824811935425e-02 3.194567188620567322e-02 1.913024640000000000e+09
1.907433344000000000e+09 5.294595286250114441e-02 3.185847401618957520e-02 1.907433344000000000e+09
1.901856896000000000e+09 5.428840965032577515e-02 3.177451714873313904e-02 1.901856896000000000e+09
1.896409088000000000e+09 5.563908442854881287e-02 3.169381245970726013e-02 1.896409088000000000e+09
1.891083392000000000e+09 5.700409039855003357e-02 3.161574155092239380e-02 1.891083392000000000e+09
1.885934848000000000e+09 5.837477371096611023e-02 3.154074400663375854e-02 1.885934848000000000e+09
1.880703232000000000e+09 5.978511273860931396e-02 3.146836161613464355e-02 1.880703232000000000e+09
1.875688704000000000e+09 6.119040772318840027e-02 3.139876946806907654e-02 1.875688704000000000e+09
1.870739072000000000e+09 6.262286007404327393e-02 3.133189305663108826e-02 1.870739072000000000e+09
1.865883392000000000e+09 6.407364457845687866e-02 3.126763552427291870e-02 1.865883392000000000e+09
1.861126528000000000e+09 6.553926318883895874e-02 3.120671398937702179e-02 1.861126528000000000e+09
1.856489600000000000e+09 6.701913475990295410e-02 3.114843182265758514e-02 1.856489600000000000e+09
1.851944960000000000e+09 6.851390749216079712e-02 3.109217435121536255e-02 1.851944960000000000e+09
1.847537536000000000e+09 7.001434266567230225e-02 3.103829175233840942e-02 1.847537536000000000e+09
1.843184384000000000e+09 7.153877615928649902e-02 3.098630160093307495e-02 1.843184384000000000e+09
1.838945024000000000e+09 7.307869940996170044e-02 3.093669191002845764e-02 1.838945024000000000e+09
1.834808704000000000e+09 7.463346421718597412e-02 3.088900446891784668e-02 1.834808704000000000e+09
1.830794496000000000e+09 7.618851214647293091e-02 3.084433451294898987e-02 1.830794496000000000e+09
1.826852096000000000e+09 7.777243107557296753e-02 3.080222383141517639e-02 1.826852096000000000e+09
1.822999424000000000e+09 7.936815917491912842e-02 3.076126798987388611e-02 1.822999424000000000e+09
1.819275008000000000e+09 8.097720146179199219e-02 3.072179108858108521e-02 1.819275008000000000e+09
1.815643136000000000e+09 8.257775008678436279e-02 3.068351931869983673e-02 1.815643136000000000e+09
1.812123648000000000e+09 8.421795070171356201e-02 3.064622357487678528e-02 1.812123648000000000e+09
1.808704000000000000e+09 8.582347631454467773e-02 3.060973994433879852e-02 1.808704000000000000e+09
1.805341056000000000e+09 8.747265487909317017e-02 3.057419508695602417e-02 1.805341056000000000e+09
1.802063360000000000e+09 8.914248645305633545e-02 3.053903765976428986e-02 1.802063360000000000e+09
1.798849920000000000e+09 9.082877635955810547e-02 3.050457686185836792e-02 1.798849920000000000e+09
1.795738112000000000e+09 9.252454340457916260e-02 3.047074750065803528e-02 1.795738112000000000e+09
1.792707072000000000e+09 9.422416239976882935e-02 3.043804690241813660e-02 1.792707072000000000e+09
1.789804032000000000e+09 9.591265022754669189e-02 3.040586598217487335e-02 1.789804032000000000e+09
1.786936960000000000e+09 9.764295816421508789e-02 3.037401475012302399e-02 1.786936960000000000e+09
1.784166144000000000e+09 9.935991466045379639e-02 3.034451790153980255e-02 1.784166144000000000e+09
1.781455360000000000e+09 1.010973080992698669e-01 3.031586855649948120e-02 1.781455360000000000e+09
1.778827008000000000e+09 1.028349101543426514e-01 3.028763271868228912e-02 1.778827008000000000e+09
1.776266880000000000e+09 1.045824289321899414e-01 3.025964088737964630e-02 1.776266880000000000e+09
1.773768192000000000e+09 1.063579171895980835e-01 3.023239411413669586e-02 1.773768192000000000e+09
1.771325312000000000e+09 1.081494763493537903e-01 3.020559996366500854e-02 1.771325312000000000e+09
1.768949504000000000e+09 1.099488139152526855e-01 3.018045239150524139e-02 1.768949504000000000e+09
1.766670208000000000e+09 1.117312982678413391e-01 3.015613742172718048e-02 1.766670208000000000e+09
1.764434560000000000e+09 1.135316044092178345e-01 3.013230115175247192e-02 1.764434560000000000e+09
1.762255744000000000e+09 1.153585016727447510e-01 3.010893613100051880e-02 1.762255744000000000e+09
1.760093184000000000e+09 1.172161847352981567e-01 3.008590638637542725e-02 1.760093184000000000e+09
1.757988608000000000e+09 1.190465390682220459e-01 3.006278537213802338e-02 1.757988608000000000e+09
1.755933184000000000e+09 1.209203377366065979e-01 3.004135191440582275e-02 1.755933184000000000e+09
1.753944320000000000e+09 1.227731257677078247e-01 3.002023510634899139e-02 1.753944320000000000e+09
1.751980544000000000e+09 1.246767863631248474e-01 2.999969758093357086e-02 1.751980544000000000e+09
1.750066048000000000e+09 1.265648901462554932e-01 2.998005598783493042e-02 1.750066048000000000e+09
1.748206080000000000e+09 1.284890174865722656e-01 2.996018715202808380e-02 1.748206080000000000e+09
