# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss
1.126338423003545600e+16 1.229317300021648407e-02 3.859424963593482971e-02 1.126338423003545600e+16
1.125019760669491200e+16 1.250639930367469788e-02 3.830147162079811096e-02 1.125019760669491200e+16
1.123691971529932800e+16 1.272367406636476517e-02 3.801780194044113159e-02 1.123691971529932800e+16
1.122358384184524800e+16 1.294253021478652954e-02 3.774157539010047913e-02 1.122358384184524800e+16
1.121017495394713600e+16 1.316535379737615585e-02 3.747325390577316284e-02 1.121017495394713600e+16
1.119663506954649600e+16 1.339373923838138580e-02 3.721335157752037048e-02 1.119663506954649600e+16
1.118306512037478400e+16 1.362540479749441147e-02 3.696049749851226807e-02 1.118306512037478400e+16
1.116938135456972800e+16 1.386096607893705368e-02 3.671548143029212952e-02 1.116938135456972800e+16
1.115557840342220800e+16 1.410189177840948105e-02 3.647709265351295471e-02 1.115557840342220800e+16
1.114164982448128000e+16 1.434801146388053894e-02 3.624537214636802673e-02 1.114164982448128000e+16
1.112766326348185600e+16 1.459792163223028183e-02 3.602064028382301331e-02 1.112766326348185600e+16
1.111358113946009600e+16 1.485177408903837204e-02 3.580421954393386841e-02 1.111358113946009600e+16
1.109934654409932800e+16 1.511139236390590668e-02 3.559634834527969360e-02 1.109934654409932800e+16
1.108517422576435200e+16 1.537269353866577148e-02 3.539559617638587952e-02 1.108517422576435200e+16
1.107085050983219200e+16 1.563972048461437225e-02 3.520193696022033691e-02 1.107085050983219200e+16
1.105646881184153600e+16 1.591068878769874573e-02 3.501412272453308105e-02 1.105646881184153600e+16
1.104194967489740800e+16 1.618688553571701050e-02 3.483209386467933655e-02 1.104194967489740800e+16
1.102730276267622400e+16 1.646810583770275116e-02 3.465710580348968506e-02 1.102730276267622400e+16
1.101253666511257600e+16 1.675571314990520477e-02 3.448763489723205566e-02 1.101253666511257600e+16
1.099766641459200000e+16 1.704849861562252045e-02 3.432378172874450684e-02 1.099766641459200000e+16
1.098328149537587200e+16 1.734378375113010406e-02 3.416587039828300476e-02 1.098328149537587200e+16
1.096785397284864000e+16 1.764431223273277283e-02 3.401459008455276489e-02 1.096785397284864000e+16
1.095278722757427200e+16 1.795074716210365295e-02 3.387072309851646423e-02 1.095278722757427200e+16
1.093770115494707200e+16 1.826041005551815033e-02 3.373244404792785645e-02 1.093770115494707200e+16
1.092250878187929600e+16 1.857526414096355438e-02 3.359892964363098145e-02 1.092250878187929600e+16
1.090730996636057600e+16 1.889449916779994965e-02 3.347027301788330078e-02 1.090730996636057600e+16
1.089188996002611200e+16 1.921938918530941010e-02 3.334629535675048828e-02 1.089188996002611200e+16
1.087654189439385600e+16 1.954733952879905701e-02 3.322780504822731018e-02 1.087654189439385600e+16
1.086106283225907200e+16 1.988163217902183533e-02 3.311336413025856018e-02 1.086106283225907200e+16
1.084556014780416000e+16 2.021916396915912628e-02 3.300282731652259827e-02 1.084556014780416000e+16
1.082993935174860800e+16 2.056430652737617493e-02 3.289654850959777832e-02 1.082993935174860800e+16
1.081413709332480000e+16 2.091683261096477509e-02 3.279485180974006653e-02 1.081413709332480000e+16
1.079847120011264000e+16 2.126983366906642914e-02 3.269634768366813660e-02 1.079847120011264000e+16
1.078270652265267200e+16 2.162920497357845306e-02 3.260242566466331482e-02 1.078270652265267200e+16
1.076680225875558400e+16 2.199511416256427765e-02 3.251254186034202576e-02 1.076680225875558400e+16
1.075079921061068800e+16 2.236745320260524750e-02 3.242493420839309692e-02 1.075079921061068800e+16
1.073484125962240000e+16 2.274338528513908386e-02 3.234005719423294067e-02 1.073484125962240000e+16
1.071884680141209600e+16 2.312190271914005280e-02 3.225756436586380005e-02 1.071884680141209600e+16
1.070277288630681600e+16 2.350580319762229919e-02 3.217747434973716736e-02 1.070277288630681600e+16
1.068658408082636800e+16 2.389653772115707397e-02 3.209982439875602722e-02 1.068658408082636800e+16
1.067035339941478400e+16 2.429104782640933990e-02 3.202448040246963501e-02 1.067035339941478400e+16
1.065410768561766400e+16 2.468961104750633240e-02 3.195191174745559692e-02 1.065410768561766400e+16
1.063779325234380800e+16 2.509466558694839478e-02 3.188193589448928833e-02 1.063779325234380800e+16
1.062154216983756800e+16 2.550249546766281128e-02 3.181365504860877991e-02 1.062154216983756800e+16
1.060511499367219200e+16 2.591982483863830566e-02 3.174698725342750549e-02 1.060511499367219200e+16
1.058873184092160000e+16 2.633991092443466187e-02 3.168153762817382812e-02 1.058873184092160000e+16
1.057225312514867200e+16 2.676794305443763733e-02 3.161764517426490784e-02 1.057225312514867200e+16
1.055574327086284800e+16 2.720196358859539032e-02 3.155698254704475403e-02 1.055574327086284800e+16
1.053912711613644800e+16 2.764400467276573181e-02 3.149757534265518188e-02 1.053912711613644800e+16
1.052255068985753600e+16 2.808960713446140289e-02 3.144121542572975159e-02 1.052255068985753600e+16
1.050595386248396800e+16 2.854054234921932220e-02 3.138695284724235535e-02 1.050595386248396800e+16
1.048925073466982400e+16 2.899878658354282379e-02 3.133402392268180847e-02 1.048925073466982400e+16
1.047254545937203200e+16 2.946458384394645691e-02 3.128254786133766174e-02 1.047254545937203200e+16
1.045578864446668800e+16 2.993677742779254913e-02 3.123235516250133514e-02 1.045578864446668800e+16
1.043899854356480000e+16 3.041671775281429291e-02 3.118327446281909943e-02 1.043899854356480000e+16
1.042229648949248000e+16 3.090175427496433258e-02 3.113603405654430389e-02 1.042229648949248000e+16
1.040544518530662400e+16 3.139641508460044861e-02 3.109108284115791321e-02 1.040544518530662400e+16
1.038869696033587200e+16 3.189387544989585876e-02 3.104697354137897491e-02 1.038869696033587200e+16
1.037178660034969600e+16 3.240524232387542725e-02 3.100407496094703674e-02 1.037178660034969600e+16
1.035504803905536000e+16 3.291967883706092834e-02 3.096212074160575867e-02 1.035504803905536000e+16
1.033825364318617600e+16 3.344393894076347351e-02 3.092135861515998840e-02 1.033825364318617600e+16
1.032139160158208000e+16 3.397908434271812439e-02 3.088093549013137817e-02 1.032139160158208000e+16
1.030508361075916800e+16 3.451943024992942810e-02 3.084134310483932495e-02 1.030508361075916800e+16
1.028782535842201600e+16 3.506859764456748962e-02 3.080211952328681946e-02 1.028782535842201600e+16
1.027108464964403200e+16 3.562687709927558899e-02 3.076407127082347870e-02 1.027108464964403200e+16
1.025426770519654400e+16 3.619411960244178772e-02 3.072738833725452423e-02 1.025426770519654400e+16
1.023747867803648000e+16 3.677426278591156006e-02 3.069209866225719452e-02 1.023747867803648000e+16
1.022068642965094400e+16 3.736228123307228088e-02 3.065739013254642487e-02 1.022068642965094400e+16
1.020398759680409600e+16 3.796226531267166138e-02 3.062340430915355682e-02 1.020398759680409600e+16
1.018730594382643200e+16 3.856935724616050720e-02 3.058970719575881958e-02 1.018730594382643200e+16
1.017056630879027200e+16 3.918924927711486816e-02 3.055667132139205933e-02 1.017056630879027200e+16
1.015395015406387200e+16 3.981317952275276184e-02 3.052531555294990540e-02 1.015395015406387200e+16
1.013735654791577600e+16 4.044610634446144104e-02 3.049481660127639771e-02 1.013735654791577600e+16
1.012082844001894400e+16 4.108533635735511780e-02 3.046509996056556702e-02 1.012082844001894400e+16
1.010456876757811200e+16 4.172819107770919800e-02 3.043606504797935486e-02 1.010456876757811200e+16
1.008812441154355200e+16 4.238897189497947693e-02 3.040837496519088745e-02 1.008812441154355200e+16
1.007177024982220800e+16 4.305421933531761169e-02 3.038262575864791870e-02 1.007177024982220800e+16
1.005530764017664000e+16 4.373809695243835449e-02 3.035783581435680389e-02 1.005530764017664000e+16
1.003893307736064000e+16 4.442974179983139038e-02 3.033365122973918915e-02 1.003893307736064000e+16
1.002283231870976000e+16 4.511917009949684143e-02 3.031015954911708832e-02 1.002283231870976000e+16
1.000648889440665600e+16 4.583115130662918091e-02 3.028867021203041077e-02 1.000648889440665600e+16
9.990134732685312000e+15 4.655297100543975830e-02 3.026854246854782104e-02 9.990134732685312000e+15
9.974062965063680000e+15 4.727308824658393860e-02 3.024909086525440216e-02 9.974062965063680000e+15
9.957861274681344000e+15 4.801076278090476990e-02 3.023087047040462494e-02 9.957861274681344000e+15
9.941802391961600000e+15 4.875618219375610352e-02 3.021336346864700317e-02 9.941802391961600000e+15
9.925526613393408000e+15 4.951945692300796509e-02 3.019810467958450317e-02 9.925526613393408000e+15
9.909482763059200000e+15 5.028230324387550354e-02 3.018341958522796631e-02 9.909482763059200000e+15
9.893136117530624000e+15 5.106686800718307495e-02 3.016938269138336182e-02 9.893136117530624000e+15
9.876771218391040000e+15 5.185561999678611755e-02 3.015600889921188354e-02 9.876771218391040000e+15
9.860386991898624000e+15 5.265191942453384399e-02 3.014315664768218994e-02 9.860386991898624000e+15
9.843917939802112000e+15 5.344629660248756409e-02 3.013041801750659943e-02 9.843917939802112000e+15
9.827602432786432000e+15 5.421321094036102295e-02 3.011798672378063202e-02 9.827602432786432000e+15
9.812317717921792000e+15 5.489671230316162109e-02 3.010545857250690460e-02 9.812317717921792000e+15
9.801133623083008000e+15 5.523880198597908020e-02 3.009210526943206787e-02 9.801133623083008000e+15
9.790984615362560000e+15 5.542644485831260681e-02 3.007803857326507568e-02 9.790984615362560000e+15
9.778112598376448000e+15 5.576790496706962585e-02 3.006373345851898193e-02 9.778112598376448000e+15
9.764085235187712000e+15 5.615142360329627991e-02 3.004897572100162506e-02 9.764085235187712000e+15
9.748823068901376000e+15 5.659076198935508728e-02 3.003393113613128662e-02 9.748823068901376000e+15
9.730115265101824000e+15 5.725093558430671692e-02 3.001846373081207275e-02 9.730115265101824000e+15
9.714394611056640000e+15 5.768400058150291443e-02 3.000309690833091736e-02 9.714394611056640000e+15
9.698832870801408000e+15 5.811464786529541016e-02 2.998733334243297577e-02 9.698832870801408000e+15
9.681509120212992000e+15 5.867131054401397705e-02 2.997112460434436798e-02 9.681509120212992000e+15
9.663776273989632000e+15 5.925032496452331543e-02 2.995478175580501556e-02 9.663776273989632000e+15
9.646795047043072000e+15 5.976802855730056763e-02 2.993787825107574463e-02 9.646795047043072000e+15
9.629172796227584000e+15 6.033012270927429199e-02 2.992102317512035370e-02 9.629172796227584000e+15
9.610074150404096000e+15 6.099148839712142944e-02 2.990402281284332275e-02 9.610074150404096000e+15
9.589132963610624000e+15 6.177769228816032410e-02 2.988723479211330414e-02 9.589132963610624000e+15
9.570649571852288000e+15 6.235938891768455505e-02 2.987132966518402100e-02 9.570649571852288000e+15
9.554874156974080000e+15 6.277032941579818726e-02 2.985623292624950409e-02 9.554874156974080000e+15
9.532954791378944000e+15 6.364743411540985107e-02 2.984237484633922577e-02 9.532954791378944000e+15
9.517669002772480000e+15 6.401397287845611572e-02 2.982796728610992432e-02 9.517669002772480000e+15
9.496596819476480000e+15 6.485126912593841553e-02 2.981472015380859375e-02 9.496596819476480000e+15
9.480937368715264000e+15 6.521034240722656250e-02 2.980137616395950317e-02 9.480937368715264000e+15
9.457158282280960000e+15 6.621125340461730957e-02 2.978899888694286346e-02 9.457158282280960000e+15
9.443519613632512000e+15 6.647431105375289917e-02 2.977800555527210236e-02 9.443519613632512000e+15
9.420796015411200000e+15 6.740536540746688843e-02 2.976809442043304443e-02 9.420796015411200000e+15
9.406737513709568000e+15 6.768663227558135986e-02 2.975784614682197571e-02 9.406737513709568000e+15
9.381750467723264000e+15 6.878758221864700317e-02 2.974847517907619476e-02 9.381750467723264000e+15
9.369042733236224000e+15 6.897555291652679443e-02 2.973841875791549683e-02 9.369042733236224000e+15
9.344558198423552000e+15 7.003199309110641479e-02 2.972901798784732819e-02 9.344558198423552000e+15
9.332884477313024000e+15 7.017064094543457031e-02 2.971901185810565948e-02 9.332884477313024000e+15
9.311501982629888000e+15 7.099577784538269043e-02 2.970994636416435242e-02 9.311501982629888000e+15
9.295162853294080000e+15 7.139822095632553101e-02 2.970078401267528534e-02 9.295162853294080000e+15
9.269706582130688000e+15 7.247129082679748535e-02 2.969299070537090302e-02 9.269706582130688000e+15
9.255674923974656000e+15 7.272059470415115356e-02 2.968491613864898682e-02 9.255674923974656000e+15
9.232118102097920000e+15 7.365386188030242920e-02 2.967749536037445068e-02 9.232118102097920000e+15
9.215723138187264000e+15 7.403667271137237549e-02 2.967023663222789764e-02 9.215723138187264000e+15
9.187202407858176000e+15 7.533919811248779297e-02 2.966400794684886932e-02 9.187202407858176000e+15
9.174632112324608000e+15 7.548568397760391235e-02 2.965651452541351318e-02 9.174632112324608000e+15
9.152429278887936000e+15 7.631481438875198364e-02 2.965008281171321869e-02 9.152429278887936000e+15
9.130120145010688000e+15 7.707793265581130981e-02 2.964404411613941193e-02 9.130120145010688000e+15
9.112191877775360000e+15 7.753352820873260498e-02 2.963887713849544525e-02 9.112191877775360000e+15
9.086359796973568000e+15 7.855490595102310181e-02 2.963444031774997711e-02 9.086359796973568000e+15
9.066602947411968000e+15 7.910548150539398193e-02 2.962936647236347198e-02 9.066602947411968000e+15
9.040401499422720000e+15 8.011586964130401611e-02 2.962491288781166077e-02 9.040401499422720000e+15
9.016471015391232000e+15 8.091446012258529663e-02 2.962017804384231567e-02 9.016471015391232000e+15
8.992117477081088000e+15 8.174229413270950317e-02 2.961540408432483673e-02 8.992117477081088000e+15
8.967330683944960000e+15 8.259221166372299194e-02 2.961050346493721008e-02 8.967330683944960000e+15
8.936217403981824000e+15 8.392021059989929199e-02 2.960644662380218506e-02 8.936217403981824000e+15
8.920079601238016000e+15 8.424959331750869751e-02 2.960146218538284302e-02 8.920079601238016000e+15
8.893032581562368000e+15 8.537717163562774658e-02 2.959826402366161346e-02 8.893032581562368000e+15
8.875714736553984000e+15 8.576402068138122559e-02 2.959486655890941620e-02 8.875714736553984000e+15
8.848598997401600000e+15 8.684350550174713135e-02 2.959214709699153900e-02 8.848598997401600000e+15
8.828428220366848000e+15 8.738560974597930908e-02 2.958954125642776489e-02 8.828428220366848000e+15
8.799858634784768000e+15 8.852199465036392212e-02 2.958739921450614929e-02 8.799858634784768000e+15
8.779313121853440000e+15 8.907261490821838379e-02 2.958499081432819366e-02 8.779313121853440000e+15
8.751091965493248000e+15 9.017170965671539307e-02 2.958308719098567963e-02 8.751091965493248000e+15
8.727871761678336000e+15 9.087959676980972290e-02 2.958096377551555634e-02 8.727871761678336000e+15
8.699518535073792000e+15 9.194746613502502441e-02 2.957879751920700073e-02 8.699518535073792000e+15
8.672840345714688000e+15 9.285609424114227295e-02 2.957714349031448364e-02 8.672840345714688000e+15
8.645512005681152000e+15 9.379815310239791870e-02 2.957617118954658508e-02 8.645512005681152000e+15
8.612395660345344000e+15 9.517043828964233398e-02 2.957548387348651886e-02 8.612395660345344000e+15
8.592413861871616000e+15 9.565567225217819214e-02 2.957438491284847260e-02 8.592413861871616000e+15
8.563471687876608000e+15 9.677941352128982544e-02 2.957452461123466492e-02 8.563471687876608000e+15
8.539819302977536000e+15 9.749037772417068481e-02 2.957500144839286804e-02 8.539819302977536000e+15
8.504419645652992000e+15 9.911371767520904541e-02 2.957629971206188202e-02 8.504419645652992000e+15
8.487083010162688000e+15 9.941049665212631226e-02 2.957619167864322662e-02 8.487083010162688000e+15
8.460928806813696000e+15 1.003528237342834473e-01 2.957632765173912048e-02 8.460928806813696000e+15
8.435366772080640000e+15 1.011924967169761658e-01 2.957643754780292511e-02 8.435366772080640000e+15
8.410451666796544000e+15 1.019804850220680237e-01 2.957641147077083588e-02 8.410451666796544000e+15
8.380227981934592000e+15 1.031278893351554871e-01 2.957678027451038361e-02 8.380227981934592000e+15
8.351852206751744000e+15 1.041132509708404541e-01 2.957772277295589447e-02 8.351852206751744000e+15
8.325692097822720000e+15 1.049673631787300110e-01 2.957833930850028992e-02 8.325692097822720000e+15
8.294148247388160000e+15 1.061770394444465637e-01 2.957960404455661774e-02 8.294148247388160000e+15
8.268119671832576000e+15 1.070177108049392700e-01 2.958048693835735321e-02 8.268119671832576000e+15
8.237754789920768000e+15 1.081663221120834351e-01 2.958202548325061798e-02 8.237754789920768000e+15
8.211272021573632000e+15 1.090393215417861938e-01 2.958334237337112427e-02 8.211272021573632000e+15
8.179959562502144000e+15 1.102434396743774414e-01 2.958522550761699677e-02 8.179959562502144000e+15
8.147049912467456000e+15 1.115201264619827271e-01 2.958682738244533539e-02 8.147049912467456000e+15
8.124566295543808000e+15 1.121518090367317200e-01 2.958784997463226318e-02 8.124566295543808000e+15
8.093619982434304000e+15 1.133742406964302063e-01 2.958907186985015869e-02 8.093619982434304000e+15
8.069832842936320000e+15 1.140913888812065125e-01 2.958965301513671875e-02 8.069832842936320000e+15
8.037583007252480000e+15 1.153863221406936646e-01 2.959059737622737885e-02 8.037583007252480000e+15
8.011714419228672000e+15 1.162142679095268250e-01 2.959105744957923889e-02 8.011714419228672000e+15
7.983865314410496000e+15 1.171876713633537292e-01 2.959155291318893433e-02 7.983865314410496000e+15
7.954062536343552000e+15 1.182810440659523010e-01 2.959206327795982361e-02 7.954062536343552000e+15
7.927336028602368000e+15 1.191779449582099915e-01 2.959248609840869904e-02 7.927336028602368000e+15
7.897774305574912000e+15 1.202635839581489563e-01 2.959287911653518677e-02 7.897774305574912000e+15
7.869450606870528000e+15 1.212910637259483337e-01 2.959343977272510529e-02 7.869450606870528000e+15
7.839455092146176000e+15 1.223655641078948975e-01 2.959394268691539764e-02 7.839455092146176000e+15
7.809747340230656000e+15 1.234508901834487915e-01 2.959442324936389923e-02 7.809747340230656000e+15
7.777148001583104000e+15 1.247210055589675903e-01 2.959492430090904236e-02 7.777148001583104000e+15
7.753088131661824000e+15 1.254878491163253784e-01 2.959502860903739929e-02 7.753088131661824000e+15
7.723574190145536000e+15 1.265573650598526001e-01 2.959629707038402557e-02 7.723574190145536000e+15
7.694556854222848000e+15 1.276060491800308228e-01 2.959762327373027802e-02 7.694556854222848000e+15
7.659988809940992000e+15 1.290210634469985962e-01 2.959915809333324432e-02 7.659988809940992000e+15
7.637421441155072000e+15 1.296768635511398315e-01 2.960003353655338287e-02 7.637421441155072000e+15
7.609284036657152000e+15 1.307117491960525513e-01 2.960112318396568298e-02 7.609284036657152000e+15
7.581540158537728000e+15 1.317263394594192505e-01 2.960218116641044617e-02 7.581540158537728000e+15
7.553481137192960000e+15 1.326957941055297852e-01 2.960311621427536011e-02 7.553481137192960000e+15
7.523430861635584000e+15 1.338295936584472656e-01 2.960406243801116943e-02 7.523430861635584000e+15
7.497050635632640000e+15 1.347285360097885132e-01 2.960456535220146179e-02 7.497050635632640000e+15
7.465402632241152000e+15 1.359730511903762817e-01 2.960539050400257111e-02 7.465402632241152000e+15
7.440989501259776000e+15 1.367597728967666626e-01 2.960583381354808807e-02 7.440989501259776000e+15
7.412514941829120000e+15 1.378185451030731201e-01 2.960729412734508514e-02 7.412514941829120000e+15
7.379372826689536000e+15 1.391667425632476807e-01 2.960957027971744537e-02 7.379372826689536000e+15
7.356865587445760000e+15 1.398542672395706177e-01 2.961124107241630554e-02 7.356865587445760000e+15
7.325654596976640000e+15 1.411023139953613281e-01 2.961359918117523193e-02 7.325654596976640000e+15
7.298914130591744000e+15 1.420351862907409668e-01 2.961584366858005524e-02 7.298914130591744000e+15
7.270904501370880000e+15 1.430592536926269531e-01 2.961812727153301239e-02 7.270904501370880000e+15
7.247567796568064000e+15 1.438173204660415649e-01 2.962017245590686798e-02 7.247567796568064000e+15
7.216392239579136000e+15 1.450751125812530518e-01 2.962305769324302673e-02 7.216392239579136000e+15
7.194127129116672000e+15 1.457807570695877075e-01 2.962544746696949005e-02 7.194127129116672000e+15
7.167644897640448000e+15 1.467579603195190430e-01 2.962826937437057495e-02 7.167644897640448000e+15
7.139663722577920000e+15 1.478240340948104858e-01 2.963116578757762909e-02 7.139663722577920000e+15
7.113578238705664000e+15 1.487728059291839600e-01 2.963436581194400787e-02 7.113578238705664000e+15
7.088372149387264000e+15 1.496794670820236206e-01 2.963744103908538818e-02 7.088372149387264000e+15
7.055893069824000000e+15 1.510511636734008789e-01 2.964114397764205933e-02 7.055893069824000000e+15
7.033386367451136000e+15 1.518022269010543823e-01 2.964411675930023193e-02 7.033386367451136000e+15
7.003695258533888000e+15 1.530165076255798340e-01 2.964746020734310150e-02 7.003695258533888000e+15
6.978718949965824000e+15 1.539290845394134521e-01 2.965055964887142181e-02 6.978718949965824000e+15
6.954660153786368000e+15 1.547973155975341797e-01 2.965342067182064056e-02 6.954660153786368000e+15
6.927611523497984000e+15 1.558574587106704712e-01 2.965630590915679932e-02 6.927611523497984000e+15
6.903502261452800000e+15 1.567497700452804565e-01 2.965879254043102264e-02 6.903502261452800000e+15
6.877521467408384000e+15 1.577647328376770020e-01 2.966118045151233673e-02 6.877521467408384000e+15
6.853522263900160000e+15 1.586732864379882812e-01 2.966322004795074463e-02 6.853522263900160000e+15
6.827138816671744000e+15 1.597353368997573853e-01 2.966544404625892639e-02 6.827138816671744000e+15
6.803415027941376000e+15 1.606432199478149414e-01 2.966785617172718048e-02 6.803415027941376000e+15
6.778539114233856000e+15 1.616325974464416504e-01 2.967026643455028534e-02 6.778539114233856000e+15
6.754270938398720000e+15 1.625919789075851440e-01 2.967265807092189789e-02 6.754270938398720000e+15
6.724503056941056000e+15 1.638938486576080322e-01 2.967548556625843048e-02 6.724503056941056000e+15
6.703765881094144000e+15 1.646570712327957153e-01 2.967783994972705841e-02 6.703765881094144000e+15
6.676286143463424000e+15 1.658509820699691772e-01 2.968059480190277100e-02 6.676286143463424000e+15
6.655348714766336000e+15 1.666415482759475708e-01 2.968274615705013275e-02 6.655348714766336000e+15
