# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss
1.768992358400000000e+10 4.595180507749319077e-03 4.895598441362380981e-02 1.768992358400000000e+10
1.769362841600000000e+10 4.580873996019363403e-03 4.833229631185531616e-02 1.769362841600000000e+10
1.769753395200000000e+10 4.564929287880659103e-03 4.772576317191123962e-02 1.769753395200000000e+10
1.770150297600000000e+10 4.548024851828813553e-03 4.713664576411247253e-02 1.770150297600000000e+10
1.770542899200000000e+10 4.531864076852798462e-03 4.656407609581947327e-02 1.770542899200000000e+10
1.770934067200000000e+10 4.517511464655399323e-03 4.600611701607704163e-02 1.770934067200000000e+10
1.771328512000000000e+10 4.502743482589721680e-03 4.546518623828887939e-02 1.771328512000000000e+10
1.771719475200000000e+10 4.487706348299980164e-03 4.494060575962066650e-02 1.771719475200000000e+10
1.772109619200000000e+10 4.473943728953599930e-03 4.442916810512542725e-02 1.772109619200000000e+10
1.772494233600000000e+10 4.461920820176601410e-03 4.393357411026954651e-02 1.772494233600000000e+10
1.772873113600000000e+10 4.451722372323274612e-03 4.345191270112991333e-02 1.772873113600000000e+10
1.773256294400000000e+10 4.440102260559797287e-03 4.298219457268714905e-02 1.773256294400000000e+10
1.773628620800000000e+10 4.433689638972282410e-03 4.252655059099197388e-02 1.773628620800000000e+10
1.773998899200000000e+10 4.428530111908912659e-03 4.208535701036453247e-02 1.773998899200000000e+10
1.774365081600000000e+10 4.423426929861307144e-03 4.165811091661453247e-02 1.774365081600000000e+10
1.774736793600000000e+10 4.417683929204940796e-03 4.124250635504722595e-02 1.774736793600000000e+10
1.775101337600000000e+10 4.415344446897506714e-03 4.083786904811859131e-02 1.775101337600000000e+10
1.775467315200000000e+10 4.412923008203506470e-03 4.044494777917861938e-02 1.775467315200000000e+10
1.775829606400000000e+10 4.409979097545146942e-03 4.006258025765419006e-02 1.775829606400000000e+10
1.776197222400000000e+10 4.406028427183628082e-03 3.969033062458038330e-02 1.776197222400000000e+10
1.776556032000000000e+10 4.404752980917692184e-03 3.932707011699676514e-02 1.776556032000000000e+10
1.776907673600000000e+10 4.403903149068355560e-03 3.897421807050704956e-02 1.776907673600000000e+10
1.777263206400000000e+10 4.404530860483646393e-03 3.863006830215454102e-02 1.777263206400000000e+10
1.777614028800000000e+10 4.405025858432054520e-03 3.829444944858551025e-02 1.777614028800000000e+10
1.777967513600000000e+10 4.406722262501716614e-03 3.796736150979995728e-02 1.777967513600000000e+10
1.778319155200000000e+10 4.406491760164499283e-03 3.764926269650459290e-02 1.778319155200000000e+10
1.778671616000000000e+10 4.407972563058137894e-03 3.733919188380241394e-02 1.778671616000000000e+10
1.779023667200000000e+10 4.407357424497604370e-03 3.703699633479118347e-02 1.779023667200000000e+10
1.779374284800000000e+10 4.408819135278463364e-03 3.674313798546791077e-02 1.779374284800000000e+10
1.779724083200000000e+10 4.409189336001873016e-03 3.645695373415946960e-02 1.779724083200000000e+10
1.780073267200000000e+10 4.410397261381149292e-03 3.617918863892555237e-02 1.780073267200000000e+10
1.780422656000000000e+10 4.412052687257528305e-03 3.590956330299377441e-02 1.780422656000000000e+10
1.780764672000000000e+10 4.416466690599918365e-03 3.564776107668876648e-02 1.780764672000000000e+10
1.781110374400000000e+10 4.419994074851274490e-03 3.539455682039260864e-02 1.781110374400000000e+10
1.781451366400000000e+10 4.424574319273233414e-03 3.514801338315010071e-02 1.781451366400000000e+10
1.781794201600000000e+10 4.430575761944055557e-03 3.490817919373512268e-02 1.781794201600000000e+10
1.782144409600000000e+10 4.434040747582912445e-03 3.467467427253723145e-02 1.782144409600000000e+10
1.782491340800000000e+10 4.438241478055715561e-03 3.445003926753997803e-02 1.782491340800000000e+10
1.782834790400000000e+10 4.443664103746414185e-03 3.423250094056129456e-02 1.782834790400000000e+10
1.783174144000000000e+10 4.449869040399789810e-03 3.402101248502731323e-02 1.783174144000000000e+10
1.783513497600000000e+10 4.455417394638061523e-03 3.381645306944847107e-02 1.783513497600000000e+10
