# mean_total_loss mean_main_loss mean_smoothness_loss mean_l2_loss sample_0_total_loss sample_0_main_loss sample_0_smoothness_loss sample_0_l2_loss sample_1_total_loss sample_1_main_loss sample_1_smoothness_loss sample_1_l2_loss sample_2_total_loss sample_2_main_loss sample_2_smoothness_loss sample_2_l2_loss sample_3_total_loss sample_3_main_loss sample_3_smoothness_loss sample_3_l2_loss sample_4_total_loss sample_4_main_loss sample_4_smoothness_loss sample_4_l2_loss sample_5_total_loss sample_5_main_loss sample_5_smoothness_loss sample_5_l2_loss sample_6_total_loss sample_6_main_loss sample_6_smoothness_loss sample_6_l2_loss sample_7_total_loss sample_7_main_loss sample_7_smoothness_loss sample_7_l2_loss sample_8_total_loss sample_8_main_loss sample_8_smoothness_loss sample_8_l2_loss sample_9_total_loss sample_9_main_loss sample_9_smoothness_loss sample_9_l2_loss
7.741800308227539062e+00 2.613941192626953125e+00 4.431579262018203735e-03 5.123427867889404297e+00
7.741797447204589844e+00 2.613937377929687500e+00 4.432551097124814987e-03 5.123427867889404297e+00
7.741986751556396484e+00 2.614127635955810547e+00 4.431173205375671387e-03 5.123427867889404297e+00
7.741017341613769531e+00 2.613157033920288086e+00 4.432780202478170395e-03 5.123427867889404297e+00
7.741406440734863281e+00 2.613546609878540039e+00 4.431725945323705673e-03 5.123427867889404297e+00
7.742311477661132812e+00 2.614452362060546875e+00 4.430977627635002136e-03 5.123427867889404297e+00
7.742038726806640625e+00 2.614180088043212891e+00 4.430477973073720932e-03 5.123427867889404297e+00
7.741766929626464844e+00 2.613908767700195312e+00 4.430250264704227448e-03 5.123427867889404297e+00
7.741642475128173828e+00 2.613783836364746094e+00 4.430855158716440201e-03 5.123427867889404297e+00
7.742440223693847656e+00 2.614579677581787109e+00 4.432499408721923828e-03 5.123427867889404297e+00
7.741594791412353516e+00 2.613734483718872070e+00 4.432503599673509598e-03 5.123427867889404297e+00
